time,stn,rre150m0,year,month,precip_annual,cluster_pca_h,precip_cluster_mean_monthly,precip_cluster_mean_annual
2000-01-01,ANT,89.5,2000,1,1763.6,1,156.05,2374.825
2000-02-01,ANT,126.7,2000,2,1763.6,1,310.72499999999997,2374.825
2000-03-01,ANT,146.9,2000,3,1763.6,1,249.32500000000002,2374.825
2000-04-01,ANT,165.4,2000,4,1763.6,1,174.775,2374.825
2000-05-01,ANT,57.2,2000,5,1763.6,1,127.525,2374.825
2000-06-01,ANT,84.6,2000,6,1763.6,1,112.55,2374.825
2000-07-01,ANT,155.8,2000,7,1763.6,1,271.525,2374.825
2000-08-01,ANT,123.6,2000,8,1763.6,1,152.425,2374.825
2000-09-01,ANT,221.6,2000,9,1763.6,1,205.9,2374.825
2000-10-01,ANT,269.9,2000,10,1763.6,1,251.15,2374.825
2000-11-01,ANT,280.4,2000,11,1763.6,1,250.325,2374.825
2000-12-01,ANT,42,2000,12,1763.6,1,112.55000000000001,2374.825
2001-01-01,ANT,60.4,2001,1,1450,1,99.45,2311.925
2001-02-01,ANT,124.6,2001,2,1450,1,177.79999999999998,2311.925
2001-03-01,ANT,134.1,2001,3,1450,1,346.45,2311.925
2001-04-01,ANT,161.3,2001,4,1450,1,273.775,2311.925
2001-05-01,ANT,57.1,2001,5,1450,1,84.225,2311.925
2001-06-01,ANT,206.8,2001,6,1450,1,287.85,2311.925
2001-07-01,ANT,174,2001,7,1450,1,156.675,2311.925
2001-08-01,ANT,118.6,2001,8,1450,1,149.2,2311.925
2001-09-01,ANT,138.9,2001,9,1450,1,258.925,2311.925
2001-10-01,ANT,79.6,2001,10,1450,1,88.925,2311.925
2001-11-01,ANT,108.4,2001,11,1450,1,228.72500000000002,2311.925
2001-12-01,ANT,86.2,2001,12,1450,1,159.925,2311.925
2002-01-01,ANT,21,2002,1,2024.1,1,50.775,2632.3
2002-02-01,ANT,126,2002,2,2024.1,1,255.2,2632.3
2002-03-01,ANT,197.5,2002,3,2024.1,1,217.975,2632.3
2002-04-01,ANT,51.2,2002,4,2024.1,1,108.05,2632.3
2002-05-01,ANT,425.4,2002,5,2024.1,1,316.3,2632.3
2002-06-01,ANT,133.8,2002,6,2024.1,1,182,2632.3
2002-07-01,ANT,123.1,2002,7,2024.1,1,196.625,2632.3
2002-08-01,ANT,139.1,2002,8,2024.1,1,259.475,2632.3
2002-09-01,ANT,80.7,2002,9,2024.1,1,158.7,2632.3
2002-10-01,ANT,73.6,2002,10,2024.1,1,171.5,2632.3
2002-11-01,ANT,572.8,2002,11,2024.1,1,540.85,2632.3
2002-12-01,ANT,79.9,2002,12,2024.1,1,174.85,2632.3
2003-01-01,ANT,133.4,2003,1,1043.1,1,228.625,1686.45
2003-02-01,ANT,80.8,2003,2,1043.1,1,116.725,1686.45
2003-03-01,ANT,15.8,2003,3,1043.1,1,56.8,1686.45
2003-04-01,ANT,60,2003,4,1043.1,1,142.025,1686.45
2003-05-01,ANT,64.9,2003,5,1043.1,1,131.675,1686.45
2003-06-01,ANT,48.1,2003,6,1043.1,1,85.525,1686.45
2003-07-01,ANT,135,2003,7,1043.1,1,147.025,1686.45
2003-08-01,ANT,59.5,2003,8,1043.1,1,78.125,1686.45
2003-09-01,ANT,54.2,2003,9,1043.1,1,79.5,1686.45
2003-10-01,ANT,192.6,2003,10,1043.1,1,297.225,1686.45
2003-11-01,ANT,85,2003,11,1043.1,1,131.8,1686.45
2003-12-01,ANT,113.8,2003,12,1043.1,1,191.4,1686.45
2004-01-01,ANT,211.7,2004,1,1235.3,1,383.375,1884.175
2004-02-01,ANT,61.9,2004,2,1235.3,1,122.4,1884.175
2004-03-01,ANT,62.5,2004,3,1235.3,1,91.125,1884.175
2004-04-01,ANT,92.5,2004,4,1235.3,1,148.75,1884.175
2004-05-01,ANT,113.8,2004,5,1235.3,1,156.525,1884.175
2004-06-01,ANT,116.4,2004,6,1235.3,1,152.975,1884.175
2004-07-01,ANT,66.8,2004,7,1235.3,1,123.25,1884.175
2004-08-01,ANT,116.7,2004,8,1235.3,1,176.625,1884.175
2004-09-01,ANT,77.6,2004,9,1235.3,1,115.2,1884.175
2004-10-01,ANT,138.6,2004,10,1235.3,1,154.725,1884.175
2004-11-01,ANT,99.8,2004,11,1235.3,1,138.425,1884.175
2004-12-01,ANT,77,2004,12,1235.3,1,120.8,1884.175
2005-01-01,ANT,138,2005,1,1265,1,255.675,1926.875
2005-02-01,ANT,88.7,2005,2,1265,1,174.125,1926.875
2005-03-01,ANT,36.9,2005,3,1265,1,80.75,1926.875
2005-04-01,ANT,74.8,2005,4,1265,1,208.65,1926.875
2005-05-01,ANT,176.2,2005,5,1265,1,194.95,1926.875
2005-06-01,ANT,111.8,2005,6,1265,1,115.95,1926.875
2005-07-01,ANT,124.7,2005,7,1265,1,151.85,1926.875
2005-08-01,ANT,239.5,2005,8,1265,1,307.05,1926.875
2005-09-01,ANT,51.1,2005,9,1265,1,91.975,1926.875
2005-10-01,ANT,74.4,2005,10,1265,1,99.75,1926.875
2005-11-01,ANT,27.4,2005,11,1265,1,49.15,1926.875
2005-12-01,ANT,121.5,2005,12,1265,1,197,1926.875
2006-01-01,ANT,56.3,2006,1,1118.2,1,90.65,1840.775
2006-02-01,ANT,101.6,2006,2,1118.2,1,129.375,1840.775
2006-03-01,ANT,124.6,2006,3,1118.2,1,296.125,1840.775
2006-04-01,ANT,86.4,2006,4,1118.2,1,162.85,1840.775
2006-05-01,ANT,139,2006,5,1118.2,1,247.97500000000002,1840.775
2006-06-01,ANT,85.5,2006,6,1118.2,1,92.8,1840.775
2006-07-01,ANT,55.3,2006,7,1118.2,1,77.575,1840.775
2006-08-01,ANT,177.2,2006,8,1118.2,1,280.95,1840.775
2006-09-01,ANT,112.2,2006,9,1118.2,1,149.575,1840.775
2006-10-01,ANT,33.3,2006,10,1118.2,1,85.1,1840.775
