stn,year,precip_annual,cluster_pca_h,precip_cluster_mean
ANT,2000,1763.6,1,2374.825
ANT,2001,1450,1,2311.925
ANT,2002,2024.1,1,2632.3
ANT,2003,1043.1,1,1686.45
ANT,2004,1235.3,1,1884.175
ANT,2005,1265,1,1926.875
ANT,2006,1118.2,1,1840.775
ANT,2007,1414.9,1,2244.2000000000003
ANT,2008,1625.8,1,2080.5
ANT,2009,1283.7,1,1801.9
ANT,2010,1397.7,1,1954.45
ANT,2011,1161.1,1,1903.425
ANT,2012,1696.7,1,2327.175
ANT,2013,1562.7,1,1978.65
ANT,2014,1193,1,1886.875
ANT,2015,911.5,1,1806.05
ANT,2016,806.8,1,1921.375
ANT,2017,1098.5,1,2175.925
ANT,2018,1227.8,1,2026.025
ANT,2019,1523.3999999999999,1,2488.475
ANT,2020,1038.2,1,1664.65
ANT,2021,1373,1,2087.7
ANT,2022,803,1,1513.3000000000002
ANT,2023,1169.3,1,2170.8
BAS,2000,786.7,2,968.6
BAS,2001,1011.7,2,1255.1285714285714
BAS,2002,1048.3,2,1226.2142857142858
BAS,2003,614.6,2,771.2
BAS,2004,791.9,2,987.3142857142857
BAS,2005,706,2,844.8285714285714
BAS,2006,1028.5,2,1124.7571428571428
BAS,2007,952,2,1234.8
BAS,2008,869.6,2,1031.2857142857142
BAS,2009,765,2,895.9285714285714
BAS,2010,835.2,2,866.8571428571429
BAS,2011,687.9,2,811.5142857142857
BAS,2012,1047.9,2,1154.4285714285716
BAS,2013,907.7,2,1066.5857142857142
BAS,2014,868.6,2,1014.6428571428572
BAS,2015,645.3,2,839.4571428571428
BAS,2016,996.8,2,1106.857142857143
BAS,2017,765.2,2,888.4142857142857
BAS,2018,697.6,2,938.4428571428571
BAS,2019,785.8,2,1003.4571428571429
BAS,2020,676.4,2,888.9428571428572
BAS,2021,921.9,2,1099.2571428571428
BAS,2022,795.4,2,849.9
BAS,2023,775.2,2,1113.4285714285713
CDF,2000,1343.8,2,968.6
CDF,2001,1773.5,2,1255.1285714285714
CDF,2002,1824.2,2,1226.2142857142858
CDF,2003,980,2,771.2
CDF,2004,1290.2,2,987.3142857142857
CDF,2005,1078.4,2,844.8285714285714
CDF,2006,1567.5,2,1124.7571428571428
CDF,2007,1736.8,2,1234.8
CDF,2008,1340.8999999999999,2,1031.2857142857142
CDF,2009,1043.7,2,895.9285714285714
CDF,2010,1156,2,866.8571428571429
CDF,2011,1023.0999999999999,2,811.5142857142857
CDF,2012,1649.1,2,1154.4285714285716
CDF,2013,1459.8,2,1066.5857142857142
CDF,2014,1387.7,2,1014.6428571428572
CDF,2015,1242.7,2,839.4571428571428
CDF,2016,1477.6,2,1106.857142857143
CDF,2017,1180.9,2,888.4142857142857
CDF,2018,1345.3,2,938.4428571428571
CDF,2019,1397,2,1003.4571428571429
CDF,2020,1230,2,888.9428571428572
CDF,2021,1537.9,2,1099.2571428571428
CDF,2022,1154.5,2,849.9
CDF,2023,1497.8999999999999,2,1113.4285714285713
CHD,2000,1075.4,2,968.6
CHD,2001,1487.8,2,1255.1285714285714
CHD,2002,1445.1,2,1226.2142857142858
CHD,2003,1082.8,2,771.2
CHD,2004,1219.1000000000001,2,987.3142857142857
CHD,2005,1112.8,2,844.8285714285714
CHD,2006,1333.1,2,1124.7571428571428
CHD,2007,1621.6,2,1234.8
CHD,2008,1132,2,1031.2857142857142
CHD,2009,1182.1,2,895.9285714285714
CHD,2010,1070.6,2,866.8571428571429
