Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Luftdruck auf Stationshöhe / Hektopascal / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Aadorf / Tänikon	539	2710518 / 1259824	01.1961-12.1990	953.9	952.1	952.1	950.6	952.2	954.1	955.2	954.7	955.8	955.2	953.4	953.6	953.6
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1961-12.1990	949.3	947.4	947.0	944.9	946.6	947.4	948.2	948.1	950.0	950.1	948.6	948.7	948.0
Adelboden	1321	2609371 / 1148939	01.1961-12.1990	865.0	863.4	864.1	863.4	866.3	869.1	871.0	870.4	870.6	868.9	865.6	865.2	866.9
Altdorf	437	2690180 / 1193563	01.1961-12.1990	965.7	963.7	963.6	961.7	963.2	964.9	966.0	965.7	966.8	966.5	965.0	965.5	964.9
Arosa	1878	2771030 / 1184830	01.1961-12.1990	806.9	805.4	806.2	806.1	809.8	812.9	815.2	814.7	814.6	812.5	808.3	807.2	810.0
Bad Ragaz	496	2756911 / 1209350	01.1961-12.1990	959.6	957.6	957.4	955.5	957.0	958.9	960.1	959.6	960.8	960.5	958.9	959.4	958.8
Basel / Binningen	316	2610908 / 1265611	01.1961-12.1990	979.8	977.9	977.7	976.2	977.6	979.3	980.2	979.6	980.7	980.6	978.9	979.4	979.0
Bern / Zollikofen	552	2601934 / 1204409	01.1961-12.1990	952.4	950.5	950.6	948.9	950.6	952.5	953.7	953.2	954.1	953.6	951.9	952.2	952.0
Beznau	325	2659813 / 1267696	01.1961-12.1990	979.2	977.1	976.8	974.8	976.3	978.1	979.2	978.7	980.0	979.7	978.2	978.7	978.1
Buchs / Aarau	386	2648396 / 1248369	01.1961-12.1990	972.1	970.0	969.8	967.9	969.3	971.1	972.2	971.8	973.0	972.8	971.3	971.7	971.1
Chasseral	1594	2570845 / 1220157	01.1961-12.1990	835.5	834.0	835.0	834.6	838.0	841.1	843.0	842.4	842.3	840.2	836.5	835.8	838.2
Chaumont	1136	2565060 / 1211006	01.1961-12.1990	885.6	884.1	884.8	883.9	886.5	889.1	890.9	890.4	890.6	889.1	886.3	885.6	887.2
Chur	556	2759466 / 1193152	01.1961-12.1990	952.4	950.4	950.1	948.3	949.9	951.7	953.0	952.5	953.8	953.4	951.8	952.2	951.6
