Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 08.01.2024 / Stand: 01.01.2024

Monatswerte Absolute Sonnenscheindauer / Stunden / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Aadorf / Tänikon	539	2710518 / 1259824	01.1961-12.1990	35.3	60.5	105.0	128.0	159.2	173.4	208.3	179.0	143.8	89.1	46.3	29.4	1357.3
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1961-12.1990	76.0	82.5	114.9	123.4	116.6	135.0	166.8	150.7	135.3	110.0	75.2	77.0	1363.5
Adelboden	1321	2609371 / 1148939	01.1961-12.1990	77.4	89.2	118.9	126.5	146.6	155.8	188.5	171.2	154.3	129.4	82.5	75.7	1516.0
Aigle	381	2560403 / 1130713	01.1961-12.1990	76.4	92.5	136.3	157.7	169.1	192.2	236.1	209.6	181.4	149.2	88.3	76.2	1764.9
Altdorf	437	2690180 / 1193563	01.1961-12.1990	33.6	67.4	108.8	120.5	143.9	147.2	166.2	148.1	135.2	109.1	54.9	30.3	1265.3
Arosa	1878	2771030 / 1184830	01.1961-12.1990	94.9	109.8	132.1	132.8	157.1	160.0	197.4	181.1	164.6	147.2	98.2	91.2	1666.4
Basel / Binningen	316	2610908 / 1265611	01.1961-12.1990	56.0	71.9	105.8	134.1	160.2	179.8	214.3	193.7	151.8	107.6	68.3	54.8	1498.3
Bern / Zollikofen	552	2601934 / 1204409	01.1961-12.1990	54.6	81.1	120.6	146.6	175.7	203.7	239.9	212.0	172.5	118.8	64.6	48.9	1639.0
Buchs / Aarau	386	2648396 / 1248369	01.1961-12.1990	29.4	61.6	106.4	131.5	162.2	177.8	213.3	183.2	149.0	86.1	40.2	25.6	1366.3
Bullet / La Frétaz	1205	2534225 / 1188081	01.1961-12.1990	88.1	94.9	121.1	142.1	155.0	180.8	214.4	193.0	173.2	138.8	93.0	85.2	1679.5
Chasseral	1594	2570845 / 1220157	01.1961-12.1990	91.1	108.8	115.4	135.6	141.2	154.6	195.2	176.0	160.4	154.3	103.0	94.4	1630.0
Chur	556	2759488 / 1193181	01.1961-12.1990	82.8	105.7	138.7	146.4	172.3	176.0	203.7	187.0	169.0	147.5	94.2	78.4	1701.7
Cimetta	1661	2704433 / 1117457	01.1961-12.1990	153.5	148.6	184.6	181.8	168.0	204.2	245.5	220.2	189.1	178.4	143.4	157.0	2174.3
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1961-12.1990	48.2	99.0	139.7	141.6	145.9	177.3	222.3	200.3	178.6	140.0	71.6	28.9	1593.4
Davos	1594	2783519 / 1187458	01.1961-12.1990	95.9	113.7	140.2	136.1	152.5	158.9	188.9	180.5	174.7	157.1	105.8	95.0	1699.4
Disentis	1197	2708190 / 1173793	01.1961-12.1990	75.6	91.2	126.9	132.7	144.4	162.2	196.8	184.8	169.7	131.8	82.6	73.8	1572.7
Engelberg	1035	2674161 / 1186069	01.1961-12.1990	46.5	87.7	123.9	125.3	144.5	143.1	164.3	152.3	139.4	129.6	64.8	33.4	1354.8
Evolène / Villa	1825	2605411 / 1106748	01.1961-12.1990	90.6	100.0	123.6	138.5	161.7	166.5	208.0	188.6	171.1	149.5	107.4	97.1	1702.5
Fahy	596	2562464 / 1252675	01.1961-12.1990	55.0	82.3	116.4	150.7	169.4	189.3	229.5	207.9	169.6	121.3	67.0	51.7	1610.1
Fey	737	2586724 / 1115180	01.1961-12.1990	NA	86.6	136.3	173.0	200.7	227.6	268.4	230.8	181.0	126.5	53.6	NA	NA
Genève / Cointrin	410	2498904 / 1122631	01.1961-12.1990	45.6	70.4	125.2	160.4	188.8	223.4	263.5	223.5	174.0	106.8	57.4	39.0	1677.9
Glarus	516	2723756 / 1210567	01.1961-12.1990	52.4	64.0	92.2	118.3	157.1	155.2	176.8	158.6	120.4	96.7	58.2	48.0	1297.6
Grimsel Hospiz	1980	2668583 / 1158214	01.1961-12.1990	61.3	82.7	104.2	93.8	119.8	146.3	182.1	162.3	143.5	118.3	64.7	58.3	1337.2
Gütsch, Andermatt	2286	2690087 / 1167480	01.1961-12.1990	109.3	119.1	140.2	131.2	144.6	168.2	214.0	194.8	182.4	156.6	114.4	112.9	1787.7
Güttingen	440	2738422 / 1273962	01.1961-12.1990	29.3	59.6	112.8	145.9	178.1	190.8	216.9	191.4	151.7	86.4	42.1	27.2	1432.1
Hinterrhein	1611	2733900 / 1153979	01.1961-12.1990	48.3	88.9	111.4	111.4	148.9	165.9	201.5	181.5	142.5	113.3	60.2	38.1	1411.9
Interlaken	577	2633023 / 1169091	01.1961-12.1990	55.0	68.1	117.1	145.0	171.6	181.3	212.5	189.3	155.6	111.0	66.6	49.8	1522.9
Jungfraujoch	3571	2641938 / 1155287	01.1961-12.1990	100.2	113.6	142.9	151.4	146.8	157.4	192.7	190.4	192.3	160.8	118.3	105.3	1772.0
La Chaux-de-Fonds	1017	2550919 / 1214861	01.1961-12.1990	83.3	97.3	116.6	132.6	145.5	161.9	200.7	183.4	161.0	143.7	101.3	89.3	1616.7
La Dôle	1669	2497059 / 1142372	01.1961-12.1990	98.9	109.6	119.2	131.4	140.1	166.3	207.3	183.4	172.8	148.5	108.7	100.9	1687.1
Le Moléson	1974	2567718 / 1155076	01.1961-12.1990	105.3	133.7	140.1	147.4	145.6	158.5	203.1	187.2	176.7	173.4	119.6	109.2	1799.6
Locarno / Monti	366	2704166 / 1114315	01.1961-12.1990	129.6	133.9	179.7	191.4	189.3	220.8	254.5	236.4	200.6	168.6	121.2	128.7	2154.8
Lugano	273	2717874 / 1095882	01.1961-12.1990	119.6	125.5	167.2	177.4	185.5	224.1	262.2	236.6	193.5	157.3	112.4	119.5	2080.8
Luzern	454	2665544 / 1209849	01.1961-12.1990	35.3	62.8	113.5	130.1	153.0	159.1	193.5	177.3	140.9	94.5	50.5	31.6	1341.9
Magadino / Cadenazzo	203	2715479 / 1113160	01.1961-12.1990	108.8	129.6	176.2	187.2	185.9	220.5	256.7	233.7	197.6	165.7	103.7	90.8	2056.3
Montana	1422	2601708 / 1127488	01.1961-12.1990	111.2	122.8	148.8	166.7	183.2	197.6	239.1	218.2	196.2	171.7	123.7	113.2	1992.6
Napf	1403	2638137 / 1206079	01.1961-12.1990	94.8	101.8	123.0	117.3	134.9	141.6	186.8	170.8	155.9	150.9	96.4	88.3	1562.6
Neuchâtel	485	2563086 / 1205559	01.1961-12.1990	37.4	73.2	124.7	160.0	185.4	210.8	242.6	218.9	169.8	98.1	46.8	34.8	1602.4
Nyon / Changins	458	2506877 / 1139573	01.1961-12.1990	50.9	80.2	135.8	170.4	186.4	213.9	256.6	221.7	184.7	115.0	63.0	45.4	1724.0
Payerne	490	2562130 / 1184611	01.1961-12.1990	44.5	73.1	125.9	156.4	180.0	205.4	240.1	215.9	174.0	109.6	57.0	41.5	1623.3
Pilatus	2105	2661904 / 1203410	01.1961-12.1990	107.2	127.4	144.5	131.0	137.3	126.8	165.6	164.0	167.5	181.8	120.2	112.8	1686.2
Piotta	990	2695880 / 1152264	01.1961-12.1990	21.8	95.9	144.0	157.0	133.9	171.4	201.8	190.5	170.7	125.8	53.8	NA	NA
Piz Corvatsch	3294	2783155 / 1143524	01.1961-12.1990	112.0	137.0	166.0	156.5	160.1	166.0	203.9	181.8	192.8	179.8	123.4	115.1	1894.4
Poschiavo / Robbia	1078	2801993 / 1136248	01.1961-12.1990	87.0	93.4	122.0	132.2	134.6	142.7	173.0	151.2	132.7	118.7	85.7	83.3	1456.5
Pully	455	2540819 / 1151510	01.1961-12.1990	50.3	75.6	122.3	154.9	179.0	204.8	249.8	220.9	169.3	115.1	70.9	52.3	1665.2
Rünenberg	611	2633252 / 1253846	01.1961-12.1990	55.6	75.8	114.3	141.8	165.9	181.3	214.8	188.0	154.8	112.1	61.7	52.6	1518.8
S. Bernardino	1638	2734116 / 1147293	01.1961-12.1990	85.8	92.1	115.6	107.9	113.6	136.7	167.0	150.9	143.9	120.5	84.7	85.8	1404.6
Samedan	1708	2787250 / 1155684	01.1961-12.1990	98.4	117.6	144.8	140.4	159.9	171.5	201.1	186.5	170.3	152.8	106.6	100.1	1750.2
Schaffhausen	438	2688703 / 1282803	01.1961-12.1990	29.6	61.6	104.7	134.3	169.3	185.3	212.2	185.4	145.2	82.9	42.3	28.0	1380.8
Scuol	1303	2817138 / 1186393	01.1961-12.1990	79.4	107.4	142.9	153.3	165.0	177.7	209.1	193.5	176.9	150.0	90.7	75.6	1721.5
Sion	482	2591632 / 1118583	01.1961-12.1990	88.7	119.1	159.8	190.0	218.7	239.6	283.7	250.1	206.6	165.9	110.5	79.5	2112.3
St. Gallen	775	2747865 / 1254587	01.1961-12.1990	42.6	72.3	114.9	138.8	165.2	172.7	206.9	188.1	149.1	96.4	53.9	34.2	1435.3
Stabio	351	2716048 / 1077971	01.1961-12.1990	113.9	120.3	162.5	170.2	163.3	212.2	237.6	224.1	179.3	141.1	104.5	115.9	1944.8
Säntis	2501	2744188 / 1234920	01.1961-12.1990	108.4	125.6	139.3	139.3	156.2	149.5	171.5	165.1	172.8	181.3	128.5	114.8	1752.3
Ulrichen	1345	2666747 / 1150766	01.1961-12.1990	64.5	95.4	124.7	142.5	160.2	187.2	223.8	188.9	162.2	131.3	75.6	54.3	1610.8
Vaduz	457	2757723 / 1221699	01.1961-12.1990	57.7	81.8	121.3	131.1	160.7	162.7	187.7	172.7	155.4	117.2	68.8	49.1	1466.4
Visp	639	2631150 / 1128024	01.1961-12.1990	NA	106.9	167.9	202.7	219.4	228.1	265.7	242.3	210.1	158.4	NA	NA	NA
Weissfluhjoch	2691	2780615 / 1189634	01.1961-12.1990	118.0	135.7	158.2	146.9	161.7	162.1	189.3	182.7	183.4	181.3	131.3	121.6	1872.1
Wynau	421	2626405 / 1233849	01.1961-12.1990	27.8	61.7	116.3	147.4	180.4	194.2	225.7	193.0	151.8	84.3	36.7	23.1	1442.4
Wädenswil	485	2693847 / 1230744	01.1961-12.1990	37.6	68.1	119.9	143.9	173.9	180.9	211.1	190.5	152.3	101.9	55.1	36.5	1471.7
Zermatt	1638	2624297 / 1097574	01.1961-12.1990	81.0	98.2	129.0	140.0	152.4	167.2	191.8	177.0	159.0	132.8	89.2	77.4	1595.1
Zürich / Affoltern	443	2681433 / 1253547	01.1961-12.1990	38.0	67.1	113.6	140.9	169.8	184.7	217.7	194.7	153.2	92.4	50.0	32.5	1454.5
Zürich / Fluntern	555	2685117 / 1248065	01.1961-12.1990	43.8	77.7	119.0	142.6	173.8	187.7	218.8	197.0	161.2	107.2	60.0	39.6	1528.5
Zürich / Kloten	426	2682711 / 1259338	01.1961-12.1990	35.3	68.5	115.5	143.9	176.4	191.0	222.6	194.9	154.9	91.8	48.8	31.1	1474.6

