Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 08.01.2024 / Stand: 01.01.2024

Monatswerte Relative Sonnenscheindauer / Prozent / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Aadorf / Tänikon	539	2710518 / 1259824	01.1961-12.1990	15.9	24.3	31.3	35.1	37.4	39.8	47.6	46.0	42.5	30.2	20.4	13.7	34.5
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1961-12.1990	51.7	50.9	52.3	45.4	37.4	42.7	52.3	51.5	58.2	58.1	49.8	56.9	49.6
Adelboden	1321	2609371 / 1148939	01.1961-12.1990	43.5	46.0	44.3	40.9	40.4	42.2	50.8	51.6	55.3	56.7	46.6	44.0	46.8
Aigle	381	2560403 / 1130713	01.1961-12.1990	38.0	40.7	44.0	46.2	44.1	49.7	60.5	57.7	58.3	55.1	43.0	41.1	49.4
Altdorf	437	2690180 / 1193563	01.1961-12.1990	24.8	34.6	41.1	42.9	41.8	42.7	47.2	48.2	51.4	46.7	35.2	25.2	42.2
Arosa	1878	2771030 / 1184830	01.1961-12.1990	45.5	47.3	43.2	38.5	39.2	39.8	48.4	48.5	52.9	54.3	45.9	46.5	45.4
Basel / Binningen	316	2610908 / 1265611	01.1961-12.1990	24.4	28.5	31.7	36.2	37.9	40.9	49.1	49.4	45.1	36.7	28.8	26.9	38.0
Bern / Zollikofen	552	2601934 / 1204409	01.1961-12.1990	21.3	30.3	35.0	38.6	40.3	46.1	53.9	52.2	49.7	38.3	25.1	19.9	39.6
Buchs / Aarau	386	2648396 / 1248369	01.1961-12.1990	13.6	25.1	31.7	35.6	38.5	42.2	50.0	46.1	43.9	29.0	18.2	12.6	35.1
Bullet / La Frétaz	1205	2534225 / 1188081	01.1961-12.1990	36.7	36.4	36.5	39.1	37.9	43.8	51.5	50.0	52.0	45.7	38.3	37.2	42.8
Chasseral	1594	2570845 / 1220157	01.1961-12.1990	33.3	37.9	31.3	33.4	30.9	33.6	41.9	40.8	43.1	46.5	37.4	36.5	37.2
Chur	556	2759488 / 1193181	01.1961-12.1990	42.1	49.8	51.3	48.8	48.7	48.7	56.0	57.5	61.7	60.3	46.7	42.6	51.8
Cimetta	1661	2704433 / 1117457	01.1961-12.1990	58.7	54.1	52.3	46.8	38.3	47.0	55.4	53.3	53.1	56.3	54.7	63.4	51.9
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1961-12.1990	42.0	47.4	44.2	39.8	36.7	45.1	55.6	52.7	55.6	53.5	48.6	49.1	47.5
Davos	1594	2783519 / 1187458	01.1961-12.1990	46.8	50.6	46.4	43.0	44.3	45.3	53.6	54.6	57.7	58.9	50.8	49.1	50.0
Disentis	1197	2708190 / 1173793	01.1961-12.1990	43.0	45.9	43.2	40.0	38.1	42.0	50.6	52.8	55.2	54.7	46.3	44.7	46.3
Engelberg	1035	2674161 / 1186069	01.1961-12.1990	42.0	44.6	44.8	39.9	41.2	38.1	45.0	46.2	48.9	54.6	46.4	44.9	44.3
Evolène / Villa	1825	2605411 / 1106748	01.1961-12.1990	48.0	49.0	44.5	43.8	43.3	42.9	54.2	55.7	60.1	62.9	56.4	54.2	50.6
Fahy	596	2562464 / 1252675	01.1961-12.1990	21.4	30.4	33.6	38.7	38.3	42.5	51.0	49.9	48.3	38.9	26.0	20.9	38.5
Fey	737	2586724 / 1115180	01.1961-12.1990	NA	49.3	50.7	52.9	48.1	53.9	62.6	62.6	64.2	57.4	44.7	NA	NA
Genève / Cointrin	410	2498904 / 1122631	01.1961-12.1990	18.9	28.1	38.6	43.7	44.3	51.8	60.6	56.9	52.8	37.0	23.8	17.1	42.4
Glarus	516	2723756 / 1210567	01.1961-12.1990	36.6	42.8	47.9	41.9	45.0	43.9	49.8	49.8	58.9	56.6	40.6	34.9	46.4
Grimsel Hospiz	1980	2668583 / 1158214	01.1961-12.1990	42.0	41.7	36.5	29.9	33.9	40.9	50.6	48.5	49.0	48.2	41.2	44.9	42.1
Gütsch, Andermatt	2286	2690087 / 1167480	01.1961-12.1990	44.8	47.3	41.6	34.1	34.6	40.6	50.6	48.3	52.5	53.4	46.8	49.1	44.8
Güttingen	440	2738422 / 1273962	01.1961-12.1990	11.8	22.3	32.6	37.5	39.9	42.0	47.5	45.9	43.1	27.9	16.7	11.7	34.3
Hinterrhein	1611	2733900 / 1153979	01.1961-12.1990	44.0	52.3	46.4	36.8	38.6	43.7	51.8	52.0	56.9	55.0	47.2	49.2	47.3
Interlaken	577	2633023 / 1169091	01.1961-12.1990	33.7	40.2	44.6	42.4	41.3	42.1	49.2	50.8	54.4	54.2	40.8	31.7	44.8
Jungfraujoch	3571	2641938 / 1155287	01.1961-12.1990	41.8	47.4	43.0	41.3	35.9	36.8	45.6	49.6	55.4	58.3	49.2	46.6	45.3
La Chaux-de-Fonds	1017	2550919 / 1214861	01.1961-12.1990	33.5	36.6	34.3	36.0	34.3	37.6	46.5	46.3	47.4	46.9	40.2	38.8	40.1
La Dôle	1669	2497059 / 1142372	01.1961-12.1990	35.4	37.7	32.8	33.5	31.8	37.5	46.2	44.1	47.5	44.4	38.8	38.0	39.1
Le Moléson	1974	2567718 / 1155076	01.1961-12.1990	38.7	47.3	39.5	37.8	33.1	35.7	45.3	45.0	49.1	53.2	43.6	42.3	42.2
Locarno / Monti	366	2704166 / 1114315	01.1961-12.1990	57.8	53.6	53.4	51.8	46.3	54.6	61.6	60.3	58.3	57.2	53.1	60.9	55.6
Lugano	273	2717874 / 1095882	01.1961-12.1990	54.0	50.3	50.1	49.4	47.7	57.8	66.7	62.8	57.4	53.5	49.5	57.9	55.1
Luzern	454	2665544 / 1209849	01.1961-12.1990	15.8	24.8	33.3	34.5	35.3	35.8	43.5	44.0	40.7	31.7	22.0	15.5	33.6
Magadino / Cadenazzo	203	2715479 / 1113160	01.1961-12.1990	61.0	57.2	54.1	50.2	44.4	51.8	59.9	59.1	58.8	59.7	54.3	64.0	55.3
Montana	1422	2601708 / 1127488	01.1961-12.1990	44.4	46.9	45.4	46.6	45.2	49.4	58.5	57.2	59.4	57.4	49.2	49.1	51.0
Napf	1403	2638137 / 1206079	01.1961-12.1990	35.3	36.2	34.5	30.0	31.0	31.3	41.7	41.2	43.3	46.3	35.5	34.6	36.7
Neuchâtel	485	2563086 / 1205559	01.1961-12.1990	14.4	27.0	35.8	42.0	43.0	48.7	55.2	53.7	48.0	31.1	17.9	14.0	38.6
Nyon / Changins	458	2506877 / 1139573	01.1961-12.1990	19.6	29.6	39.2	44.8	43.3	49.2	58.6	54.9	52.9	36.8	24.2	18.4	41.7
Payerne	490	2562130 / 1184611	01.1961-12.1990	18.1	27.6	36.5	40.0	40.5	45.9	53.1	51.7	49.4	35.7	22.8	18.0	39.1
Pilatus	2105	2661904 / 1203410	01.1961-12.1990	44.5	48.6	42.0	34.2	31.5	28.7	37.3	40.2	48.1	59.6	49.2	50.3	41.3
Piotta	990	2695880 / 1152264	01.1961-12.1990	48.2	49.4	49.4	45.9	35.7	46.1	53.3	52.8	56.0	53.5	56.7	NA	NA
Piz Corvatsch	3294	2783155 / 1143524	01.1961-12.1990	45.0	51.1	47.6	40.6	36.5	37.1	45.4	44.4	54.7	57.8	49.2	48.6	45.7
Poschiavo / Robbia	1078	2801993 / 1136248	01.1961-12.1990	56.5	54.9	54.3	51.9	45.0	47.4	56.9	54.2	58.0	59.2	54.1	60.0	53.7
Pully	455	2540819 / 1151510	01.1961-12.1990	19.0	27.4	34.9	40.2	41.4	47.3	57.0	53.8	47.8	36.2	26.6	20.7	39.8
Rünenberg	611	2633252 / 1253846	01.1961-12.1990	22.8	29.4	34.2	37.5	38.1	40.8	48.2	46.3	45.5	37.4	25.1	22.7	37.4
S. Bernardino	1638	2734116 / 1147293	01.1961-12.1990	48.3	47.8	43.1	37.0	35.2	41.4	50.5	49.3	52.4	52.8	47.2	50.7	45.7
Samedan	1708	2787250 / 1155684	01.1961-12.1990	48.6	56.2	54.6	48.0	46.7	48.1	58.4	58.8	63.5	63.1	52.8	51.4	54.1
Schaffhausen	438	2688703 / 1282803	01.1961-12.1990	13.1	25.1	33.8	37.9	42.9	45.5	52.2	49.5	45.3	29.3	18.2	13.6	36.7
Scuol	1303	2817138 / 1186393	01.1961-12.1990	44.8	50.4	47.6	44.8	41.6	44.2	51.5	52.8	57.0	58.4	49.5	48.4	49.0
Sion	482	2591632 / 1118583	01.1961-12.1990	50.3	52.5	50.6	53.3	53.4	57.4	67.9	65.4	64.2	61.1	57.7	58.2	58.3
St. Gallen	775	2747865 / 1254587	01.1961-12.1990	20.2	29.3	33.5	35.8	37.0	37.9	45.2	45.2	42.2	32.5	24.3	18.1	35.7
Stabio	351	2716048 / 1077971	01.1961-12.1990	51.4	47.6	47.1	45.5	39.1	50.6	56.0	56.7	51.6	47.0	45.9	56.6	49.5
Säntis	2501	2744188 / 1234920	01.1961-12.1990	39.4	43.4	38.5	35.5	34.7	32.8	37.4	39.3	47.9	54.4	46.4	44.4	40.4
Ulrichen	1345	2666747 / 1150766	01.1961-12.1990	44.9	47.0	42.6	45.2	43.4	49.3	58.7	55.4	55.4	51.4	46.6	47.6	49.6
Vaduz	457	2757723 / 1221699	01.1961-12.1990	32.0	39.8	43.6	41.4	43.5	42.7	49.4	50.9	54.5	48.8	36.7	29.9	44.1
Visp	639	2631150 / 1128024	01.1961-12.1990	NA	53.5	53.0	55.1	54.3	56.9	65.0	62.3	62.7	62.0	NA	NA	NA
Weissfluhjoch	2691	2780615 / 1189634	01.1961-12.1990	43.4	48.2	45.4	39.0	37.3	36.9	42.6	45.3	52.3	56.5	47.7	47.2	44.5
Wynau	421	2626405 / 1233849	01.1961-12.1990	12.3	24.8	35.0	39.2	41.6	43.7	50.7	48.1	44.9	28.9	16.0	11.0	36.3
Wädenswil	485	2693847 / 1230744	01.1961-12.1990	16.3	26.7	34.8	37.2	38.8	39.6	45.9	45.8	43.2	33.5	23.5	16.7	35.8
Zermatt	1638	2624297 / 1097574	01.1961-12.1990	51.2	55.4	53.9	55.1	53.1	57.5	65.5	65.5	66.5	63.1	55.5	52.9	58.5
Zürich / Affoltern	443	2681433 / 1253547	01.1961-12.1990	15.7	26.5	34.3	36.7	38.7	41.9	48.7	47.5	44.7	31.3	20.6	14.1	35.8
Zürich / Fluntern	555	2685117 / 1248065	01.1961-12.1990	17.7	29.4	35.0	37.8	40.5	43.8	50.1	48.8	46.7	34.9	24.0	16.8	37.6
Zürich / Kloten	426	2682711 / 1259338	01.1961-12.1990	13.7	25.1	33.2	37.0	40.0	42.7	49.5	47.1	44.0	29.1	18.7	12.8	35.2

