Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Frosttage (Minimum tiefer als 0 Grad C) / Anzahl / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Adelboden	1321	2609371 / 1148939	01.1961-12.1990	28.6	25.9	25.2	18.0	5.3	0.6	0.1	0.1	0.8	6.3	19.0	26.1	156.0
Altdorf	437	2690180 / 1193563	01.1961-12.1990	24.6	18.2	14.4	5.4	0.5	0.1	0.0	0.0	0.0	1.2	12.4	23.0	99.8
Arosa	1878	2771030 / 1184830	01.1961-12.1990	30.7	27.7	29.4	21.8	11.0	4.0	0.6	0.5	4.3	11.4	23.3	29.0	193.7
Bad Ragaz	496	2756911 / 1209350	01.1961-12.1990	23.1	18.1	12.0	3.3	0.3	0.0	0.0	0.0	0.0	1.2	10.5	21.1	89.6
Basel / Binningen	316	2610908 / 1265611	01.1961-12.1990	18.8	14.6	9.4	2.5	0.2	0.0	0.0	0.0	0.0	0.8	7.6	16.5	70.4
Bern / Zollikofen	552	2601934 / 1204409	01.1961-12.1990	26.5	21.2	16.9	7.2	0.6	0.1	0.0	0.0	0.0	2.5	15.1	24.9	115.0
Biel/Bienne	433	2586260 / 1218840	01.1961-12.1990	21.3	16.6	11.5	2.9	0.1	0.0	0.0	0.0	0.0	0.7	8.4	18.7	80.2
Buchs / Aarau	386	2648396 / 1248369	01.1961-12.1990	22.3	18.3	14.4	5.0	0.4	0.0	0.0	0.0	0.2	1.4	9.4	19.5	90.9
Buffalora	1971	2816494 / 1170254	01.1961-12.1990	31.0	28.3	30.8	29.6	23.8	11.1	6.5	6.8	15.5	27.0	29.6	31.0	271.0
Chaumont	1136	2565060 / 1211006	01.1961-12.1990	27.0	23.1	21.6	13.1	2.1	0.1	0.0	0.0	0.1	4.3	17.1	23.9	132.4
Chur	556	2759466 / 1193152	01.1961-12.1990	24.0	18.1	11.3	3.9	0.3	0.0	0.0	0.0	0.0	1.5	12.4	23.0	94.5
Château-d'Oex	1028	2577040 / 1147654	01.1961-12.1990	28.9	25.5	24.8	16.2	3.6	0.3	0.0	0.0	1.0	7.4	21.6	27.6	156.9
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1961-12.1990	31.0	28.2	30.9	29.2	23.2	11.4	4.2	4.3	8.7	18.0	28.1	30.3	247.5
Davos	1594	2783519 / 1187458	01.1961-12.1990	31.0	28.1	30.1	25.3	12.7	3.4	0.5	0.7	4.8	15.7	27.6	30.6	210.5
Delémont	439	2593269 / 1244543	01.1961-12.1990	22.6	18.2	15.6	8.1	1.4	0.1	0.0	0.0	0.4	3.2	14.0	21.7	105.3
Disentis	1197	2708190 / 1173793	01.1961-12.1990	28.0	24.5	22.5	13.1	2.2	0.3	0.0	0.0	0.3	4.3	17.0	25.5	137.7
Einsiedeln	910	2699983 / 1221068	01.1961-12.1990	28.8	25.2	23.0	12.9	1.6	0.1	0.0	0.0	0.3	5.0	19.2	26.6	142.7
Fey	737	2586724 / 1115180	01.1961-12.1990	22.8	17.0	11.8	3.9	0.1	0.0	0.0	0.0	0.0	0.3	8.7	19.3	83.9
Fribourg / Grangeneuve	650	2575183 / 1180076	01.1961-12.1990	24.7	19.6	16.9	8.2	0.9	0.0	0.0	0.0	0.4	2.7	14.6	23.0	111.0
Genève / Cointrin	410	2498904 / 1122631	01.1961-12.1990	21.5	17.7	14.3	4.1	0.3	0.0	0.0	0.0	0.0	1.2	9.5	18.2	86.8
Glarus	516	2723756 / 1210567	01.1961-12.1990	24.6	19.1	13.3	4.2	0.3	0.0	0.0	0.0	0.0	1.4	12.5	22.7	98.1
Grächen	1605	2630738 / 1116062	01.1961-12.1990	NA	NA	NA	NA	NA	NA	NA	0.0	0.5	5.5	19.3	27.8	NA
Gstaad	1100	2586999 / 1143000	01.1961-12.1990	28.9	25.5	25.3	18.0	4.1	0.1	0.0	0.0	1.1	9.8	22.6	28.0	163.4
Gütsch, Andermatt	2286	2690087 / 1167480	01.1961-12.1990	30.8	27.9	30.3	28.1	19.9	9.7	4.2	4.0	8.2	14.7	26.3	29.5	233.6
Güttingen	440	2738422 / 1273962	01.1961-12.1990	23.8	19.8	14.1	4.5	0.3	0.0	0.0	0.0	0.0	1.0	10.8	21.5	95.8
Hallau	419	2677456 / 1283471	01.1961-12.1990	26.4	22.5	17.8	7.7	0.8	0.0	0.0	0.0	0.0	3.1	14.2	23.6	116.1
Interlaken	577	2633023 / 1169091	01.1961-12.1990	25.2	20.0	14.5	4.3	0.3	0.0	0.0	0.0	0.0	1.4	12.6	23.0	101.3
Jungfraujoch	3571	2641938 / 1155287	01.1961-12.1990	31.0	28.3	31.0	30.0	30.8	28.5	24.8	25.5	27.6	30.2	30.0	31.0	348.7
Koppigen	485	2612663 / 1218664	01.1961-12.1990	26.2	20.7	16.6	6.8	0.8	0.1	0.0	0.0	0.3	2.8	14.2	23.6	112.1
La Brévine	1050	2536981 / 1203974	01.1961-12.1990	28.9	26.4	27.7	23.3	13.8	6.9	2.5	2.3	6.9	16.6	24.2	28.6	208.1
