Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Eistage (Maximum tiefer als 0 Grad) / Anzahl / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Adelboden	1321	2609371 / 1148939	01.1961-12.1990	8.9	7.7	5.4	2.5	0.0	0.0	0.0	0.0	0.0	0.3	5.0	8.2	38.0
Altdorf	437	2690180 / 1193563	01.1961-12.1990	6.1	3.3	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	5.9	16.7
Arosa	1878	2771030 / 1184830	01.1961-12.1990	17.8	16.6	13.9	7.9	1.8	0.2	0.0	0.0	0.0	2.2	9.2	15.2	84.8
Bad Ragaz	496	2756911 / 1209350	01.1961-12.1990	7.2	4.9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	7.6	21.9
Basel / Binningen	316	2610908 / 1265611	01.1961-12.1990	6.3	2.8	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.2	15.9
Bern / Zollikofen	552	2601934 / 1204409	01.1961-12.1990	9.3	4.7	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	8.4	25.0
Biel/Bienne	433	2586260 / 1218840	01.1961-12.1990	7.1	2.7	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	5.1	15.7
Buchs / Aarau	386	2648396 / 1248369	01.1961-12.1990	7.7	3.4	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	6.4	19.2
Chaumont	1136	2565060 / 1211006	01.1961-12.1990	11.6	10.6	7.6	2.7	0.1	0.0	0.0	0.0	0.0	0.6	5.9	10.6	49.7
Chur	556	2759466 / 1193152	01.1961-12.1990	5.5	2.6	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.5	15.2
Château-d'Oex	1028	2577040 / 1147654	01.1961-12.1990	8.3	6.5	2.7	0.6	0.0	0.0	0.0	0.0	0.0	0.0	2.5	7.9	28.5
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1961-12.1990	27.0	25.0	26.1	20.7	7.8	2.1	0.4	0.3	1.8	6.5	18.6	24.5	160.8
Davos	1594	2783519 / 1187458	01.1961-12.1990	15.8	11.8	8.8	4.1	0.2	0.0	0.0	0.0	0.0	1.0	7.5	15.0	64.2
Delémont	439	2593269 / 1244543	01.1961-12.1990	7.6	3.7	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	7.1	20.5
Disentis	1197	2708190 / 1173793	01.1961-12.1990	8.7	7.4	3.2	0.5	0.0	0.0	0.0	0.0	0.0	0.1	4.2	8.8	32.9
Fey	737	2586724 / 1115180	01.1961-12.1990	7.8	3.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	6.6	19.5
Fribourg / Grangeneuve	650	2575183 / 1180076	01.1961-12.1990	9.4	5.5	1.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2.4	8.4	27.0
Genève / Cointrin	410	2498904 / 1122631	01.1961-12.1990	5.3	1.8	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	4.3	11.9
Glarus	516	2723756 / 1210567	01.1961-12.1990	8.4	5.9	1.3	0.1	0.0	0.0	0.0	0.0	0.0	0.0	1.3	7.5	24.5
Grächen	1605	2630738 / 1116062	01.1961-12.1990	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.7	5.8	11.9	NA
Gstaad	1100	2586999 / 1143000	01.1961-12.1990	7.7	3.9	1.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	2.4	8.8	24.2
Gütsch, Andermatt	2286	2690087 / 1167480	01.1961-12.1990	23.9	23.1	23.5	17.7	6.0	1.0	0.1	0.1	0.9	4.1	14.3	21.1	135.8
Güttingen	440	2738422 / 1273962	01.1961-12.1990	9.0	4.9	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	8.3	24.9
Interlaken	577	2633023 / 1169091	01.1961-12.1990	8.4	4.6	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	8.0	23.2
Jungfraujoch	3571	2641938 / 1155287	01.1961-12.1990	31.0	28.3	30.8	29.4	26.7	16.4	8.6	7.8	12.6	21.6	28.6	30.7	272.5
Koppigen	485	2612663 / 1218664	01.1961-12.1990	10.1	4.8	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	9.3	27.0
La Brévine	1050	2536981 / 1203974	01.1961-12.1990	11.8	9.1	4.7	0.8	0.0	0.0	0.0	0.0	0.0	0.2	4.9	11.4	42.9
La Chaux-de-Fonds	1017	2550919 / 1214861	01.1961-12.1990	8.5	7.3	4.0	0.7	0.0	0.0	0.0	0.0	0.0	0.1	3.6	7.8	32.0
Locarno / Monti	366	2704166 / 1114315	01.1961-12.1990	0.9	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1.5
Lugano	273	2717874 / 1095882	01.1961-12.1990	0.6	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.8
Luzern	454	2665544 / 1209849	01.1961-12.1990	8.4	4.5	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	7.2	22.5
Magadino / Cadenazzo	203	2715479 / 1113160	01.1961-12.1990	1.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	2.0
Meiringen	588	2655844 / 1175929	01.1961-12.1990	11.7	5.4	1.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	2.1	11.9	32.3
Montana	1422	2601708 / 1127488	01.1961-12.1990	11.2	9.0	4.8	1.4	0.0	0.0	0.0	0.0	0.0	0.3	4.7	9.9	41.3
Montreux-Clarens	405	2558559 / 1143600	01.1961-12.1990	2.9	0.9	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.7	5.7
Neuchâtel	485	2563086 / 1205559	01.1961-12.1990	7.8	3.2	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	6.1	18.6
Nyon / Changins	458	2506877 / 1139573	01.1961-12.1990	5.3	2.2	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	4.0	12.3
Payerne	490	2562130 / 1184611	01.1961-12.1990	8.4	3.9	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	7.3	21.4
Poschiavo / Robbia	1078	2801993 / 1136248	01.1961-12.1990	6.1	3.7	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	4.5	16.4
Pully	455	2540819 / 1151510	01.1961-12.1990	5.5	2.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	4.6	13.7
Samedan	1708	2787250 / 1155684	01.1961-12.1990	21.7	14.1	8.0	2.4	0.1	0.0	0.0	0.0	0.0	0.6	7.9	19.2	74.0
Schaffhausen	438	2688703 / 1282803	01.1961-12.1990	9.5	4.5	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	8.6	25.2
Sion	482	2591632 / 1118583	01.1961-12.1990	4.9	1.6	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	4.0	11.2
St. Gallen	775	2747865 / 1254587	01.1961-12.1990	10.6	8.8	3.7	0.5	0.0	0.0	0.0	0.0	0.0	0.0	3.1	10.2	36.9
Säntis	2501	2744188 / 1234920	01.1961-12.1990	27.1	25.2	26.7	22.8	12.5	5.0	2.1	1.6	3.7	7.1	18.3	23.7	175.8
Zürich / Fluntern	555	2685117 / 1248065	01.1961-12.1990	9.5	4.9	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	8.5	26.0
Zürich / Kloten	426	2682711 / 1259338	01.1961-12.1990	9.0	4.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	7.9	23.8

