Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Hitzetage (Maximum 30 Grad C oder höher) / Anzahl / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Adelboden	1321	2609371 / 1148939	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Altdorf	437	2690180 / 1193563	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.2	0.8	0.5	0.0	0.0	0.0	0.0	1.5
Arosa	1878	2771030 / 1184830	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bad Ragaz	496	2756911 / 1209350	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.5	1.4	0.9	0.0	0.0	0.0	0.0	2.8
Basel / Binningen	316	2610908 / 1265611	01.1961-12.1990	0.0	0.0	0.0	0.0	0.1	1.0	3.3	2.1	0.2	0.0	0.0	0.0	6.7
Bern / Zollikofen	552	2601934 / 1204409	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.3	1.5	0.9	0.1	0.0	0.0	0.0	2.8
Biel/Bienne	433	2586260 / 1218840	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.9	3.6	2.2	0.1	0.0	0.0	0.0	6.8
Buchs / Aarau	386	2648396 / 1248369	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.7	3.1	2.1	0.2	0.0	0.0	0.0	6.1
Chaumont	1136	2565060 / 1211006	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chur	556	2759466 / 1193152	01.1961-12.1990	0.0	0.0	0.0	0.0	0.1	0.9	2.2	2.0	0.2	0.0	0.0	0.0	5.4
Château-d'Oex	1028	2577040 / 1147654	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Davos	1594	2783519 / 1187458	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Delémont	439	2593269 / 1244543	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.6	2.3	1.2	0.1	0.0	0.0	0.0	4.2
Disentis	1197	2708190 / 1173793	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2
Fey	737	2586724 / 1115180	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.6	1.1	1.0	0.1	0.0	0.0	0.0	2.8
Fribourg / Grangeneuve	650	2575183 / 1180076	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.1	1.0	0.5	0.0	0.0	0.0	0.0	1.6
Genève / Cointrin	410	2498904 / 1122631	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	1.4	5.2	3.8	0.3	0.0	0.0	0.0	10.7
Glarus	516	2723756 / 1210567	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.1	0.8	0.1	0.0	0.0	0.0	0.0	1.0
Grächen	1605	2630738 / 1116062	01.1961-12.1990	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	NA
Gstaad	1100	2586999 / 1143000	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.2	1.0	0.3	0.0	0.0	0.0	0.0	1.5
Gütsch, Andermatt	2286	2690087 / 1167480	01.1961-12.1990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Güttingen	440	2738422 / 1273962	01.1961-12.1990	0.0	0.0	0.0	0.0	0.1	0.3	1.4	0.5	0.0	0.0	0.0	0.0	2.3
