Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Lufttemperatur 2m / Grad Celsius / Normwerte 1961-1990

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Aadorf / Tänikon	539	2710518 / 1259824	01.1961-12.1990	-1.1	0.2	3.5	7.1	11.5	14.9	17.0	16.2	13.2	8.5	3.3	0.0	7.9
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1961-12.1990	0.9	1.8	5.2	8.9	12.7	16.1	18.3	17.4	14.4	9.9	4.9	2.2	9.4
Adelboden	1321	2609371 / 1148939	01.1961-12.1990	-2.5	-2.1	-0.1	3.3	7.7	10.9	13.3	12.7	10.4	6.9	1.6	-1.3	5.1
Aigle	381	2560403 / 1130713	01.1961-12.1990	0.0	1.7	4.7	8.5	12.4	15.7	18.0	17.1	14.1	9.5	4.3	0.7	8.9
Altdorf	437	2690180 / 1193563	01.1961-12.1990	0.5	1.9	4.6	8.2	12.5	15.5	17.6	16.8	14.0	9.8	4.6	1.0	8.9
Andermatt	1434	2687444 / 1165043	01.1961-12.1990	-5.5	-4.8	-2.5	1.0	5.8	9.0	11.3	10.9	8.7	4.7	-1.1	-4.7	2.7
Arosa	1878	2771030 / 1184830	01.1961-12.1990	-4.5	-4.6	-2.9	0.0	4.6	7.9	10.5	10.2	8.0	4.9	-0.6	-3.4	2.5
Bad Ragaz	496	2756911 / 1209350	01.1961-12.1990	-0.1	1.5	5.0	8.7	12.9	15.8	17.7	16.9	14.2	9.8	4.5	0.5	9.0
Basel / Binningen	316	2610908 / 1265611	01.1961-12.1990	0.9	2.4	5.6	9.1	13.1	16.3	18.5	17.7	14.8	10.1	4.9	1.8	9.6
Bern / Zollikofen	552	2601934 / 1204409	01.1961-12.1990	-1.3	0.5	3.7	7.5	11.7	15.1	17.5	16.7	13.5	8.7	3.2	-0.2	8.1
Biel/Bienne	433	2586260 / 1218840	01.1961-12.1990	-0.3	1.3	4.4	8.5	12.8	16.3	18.7	17.7	14.5	9.6	4.2	0.9	9.1
Blatten, Lötschental	1538	2629563 / 1141083	01.1961-12.1990	-6.1	-5.0	-2.3	1.4	6.3	9.9	12.4	11.3	8.5	4.2	-1.4	-5.2	2.8
