stn;time;tso010m0;pva200m0;ets150m0;nto000m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;tre005mn;ure200mn
BAS;200001;2.6;5.8;2.29;73;38;988.3;10.7;-10.6;2.0;4;19.3;79.4;1;74.6;30;2.9;-16.4;-
BAS;200002;4.6;6.9;5.06;73;62;986.3;19.5;-2.2;5.7;1;74.5;75.6;0;80.7;29;3.1;-5.9;-
BAS;200003;8.0;6.9;23.44;71;109;983.4;19.3;-2.2;7.6;0;34.1;66.4;0;131.9;38;2.8;-7.2;-
BAS;200004;11.7;9.0;41.08;71;159;971.7;27.7;-1.6;11.3;0;53.5;68.6;0;157.1;41;2.3;-5.9;-
BAS;200005;16.9;12.6;57.95;65;214;979.7;28.5;6.5;16.2;0;54.6;69.2;0;202.2;46;2.4;1.8;-
BAS;200006;19.9;13.8;99.48;48;262;983.5;32.6;7.5;19.0;0;67.4;64.6;0;279.8;63;2.1;3.7;-
BAS;200007;20.1;14.3;57.80;66;201;977.9;33.0;9.3;17.4;0;138.7;72.5;0;184.9;41;2.4;5.0;-
BAS;200008;20.9;16.7;70.31;48;198;981.4;33.0;11.7;20.2;0;98.0;72.3;0;247.0;60;1.9;7.4;-
BAS;200009;17.5;14.1;41.38;60;154;978.8;27.0;8.4;16.6;0;54.4;75.1;0;209.7;60;2.1;3.6;-
BAS;200010;13.6;11.2;12.89;76;79;978.9;20.1;3.3;11.9;0;63.5;80.0;0;90.5;29;1.9;0.4;-
BAS;200011;8.0;8.1;8.60;76;44;972.7;14.7;0.6;7.7;0;87.8;77.2;0;65.8;26;2.8;-2.8;-
BAS;200012;5.5;7.2;4.37;78;34;976.1;15.6;-2.1;5.6;2;40.9;78.4;0;66.2;28;3.1;-5.5;-
BAS;200101;3.0;6.3;2.50;77;39;976.8;14.7;-4.4;3.5;0;81.2;78.2;0;67.8;27;2.9;-8.1;-
BAS;200102;4.4;6.3;5.37;71;71;981.5;16.6;-4.2;4.8;0;20.5;72.1;0;86.1;32;2.8;-7.8;-
BAS;200103;7.9;8.6;11.52;86;82;970.7;21.5;-0.4;8.5;8;188.8;77.1;0;62.9;18;2.9;-4.2;-
BAS;200104;10.6;8.1;26.14;83;136;977.7;22.9;-0.3;8.5;0;110.2;73.3;0;97.7;25;2.5;-4.5;-
BAS;200105;16.2;13.1;59.10;71;209;979.4;29.3;4.9;15.7;0;117.8;75.1;0;221.1;50;2.0;0.9;-
