stn;time;tso010m0;pva200m0;ets150m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;tre005mn;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;ure200mn
CDF;200001;1.0;4.6;3.48;60;905.9;5.7;-21.9;-2.8;-26.2;40;49.9;87.6;20;108.1;43;2.0;54;-
CDF;200002;0.7;5.4;3.73;75;905.5;11.6;-16.9;0.5;-20.5;55;184.5;84.1;7;85.9;31;2.3;68;-
CDF;200003;2.8;5.7;5.76;119;902.8;13.6;-12.5;2.2;-13.7;13;49.9;79.4;1;134.3;39;2.4;60;-
CDF;200004;6.5;7.0;19.94;158;892.7;21.6;-4.0;6.3;-5.0;0;88.2;74.5;0;142.2;38;2.2;67;-
CDF;200005;12.3;10.2;47.24;200;901.2;22.2;-0.5;10.9;-2.1;0;139.7;79.0;0;172.2;40;1.9;64;-
CDF;200006;13.7;12.1;96.84;242;905.3;26.9;2.5;14.2;1.5;0;61.7;75.5;0;233.5;54;1.5;52;-
CDF;200007;13.0;11.5;74.89;199;900.1;27.1;0.8;12.5;-0.4;0;193.5;80.4;0;170.2;39;2.3;68;-
CDF;200008;14.4;13.2;97.69;194;904.3;27.8;5.9;15.5;4.7;0;96.4;77.2;0;226.5;56;1.4;48;-
CDF;200009;12.4;11.3;55.00;159;901.0;23.5;1.9;12.1;0.3;0;97.5;80.8;0;196.6;57;1.6;52;-
CDF;200010;8.9;8.9;19.01;82;899.9;19.0;-2.8;7.7;-4.8;0;137.6;84.5;0;104.7;34;2.1;67;-
CDF;200011;4.8;6.4;9.64;51;893.2;16.3;-5.4;3.3;-8.9;5;136.2;82.9;0;79.6;31;2.8;63;-
CDF;200012;3.2;5.9;5.23;38;896.1;13.1;-10.3;2.4;-13.3;18;108.7;80.7;1;75.1;32;2.1;68;-
CDF;200101;1.2;5.2;3.33;46;895.5;9.4;-11.3;0.3;-14.3;18;117.9;81.9;1;71.3;28;2.4;75;-
CDF;200102;0.9;5.0;4.48;86;900.2;14.0;-16.9;0.2;-11.2;26;77.8;78.0;2;108.3;41;2.6;66;-
CDF;200103;3.2;7.3;2.71;84;891.5;17.5;-11.9;4.5;-7.7;34;305.6;85.5;3;60.7;18;3.0;86;-
CDF;200104;4.6;6.4;9.83;149;897.3;16.9;-4.7;3.5;-7.7;17;204.5;80.8;1;83.0;22;2.5;82;-
CDF;200105;11.3;10.5;66.51;193;900.6;23.5;-1.0;11.7;-0.1;0;112.9;77.7;0;196.4;46;2.3;66;-
CDF;200106;14.3;10.4;102.56;228;902.6;27.7;-0.5;12.0;-2.6;0;148.8;75.3;0;213.8;49;1.8;59;-
CDF;200107;15.9;13.0;103.42;240;901.8;25.7;4.4;15.3;3.8;0;182.7;76.0;0;220.2;50;2.0;59;-
CDF;200108;16.0;13.7;99.42;210;903.4;27.3;3.3;15.9;3.1;0;133.8;76.8;0;241.8;60;1.6;48;-
CDF;200109;10.9;9.5;23.34;107;900.0;19.3;0.2;8.4;-0.6;0;197.9;85.8;0;80.1;23;2.0;85;-
CDF;200110;10.9;10.3;33.78;109;904.2;23.5;2.2;11.3;0.1;0;103.0;78.5;0;170.0;55;1.6;46;-
CDF;200111;4.1;5.5;12.96;66;903.2;13.3;-9.1;0.5;-12.1;20;120.1;84.7;1;118.3;46;2.8;57;-
CDF;200112;1.3;4.5;6.43;47;902.6;7.7;-24.3;-3.0;-20.0;56;68.5;83.2;6;118.3;50;3.6;61;-
CDF;200201;0.0;4.6;6.39;61;906.8;16.7;-16.0;-1.0;-18.9;5;41.3;77.7;8;134.9;54;1.9;48;-
CDF;200202;0.5;6.0;3.29;66;900.1;14.7;-16.7;2.5;-19.3;53;131.0;80.8;6;58.1;22;3.7;80;-
CDF;200203;3.2;5.9;8.29;136;900.8;15.5;-7.1;4.0;-8.8;6;106.8;73.3;1;167.5;49;2.5;53;-
CDF;200204;6.2;6.3;20.98;181;897.5;17.7;-3.7;5.8;-7.9;0;45.7;70.0;0;172.7;46;2.4;63;-
CDF;200205;10.2;8.6;61.80;182;899.2;24.0;-1.3;9.2;-2.6;0;168.5;76.1;0;158.9;37;1.7;67;-
CDF;200206;15.0;12.6;118.45;246;902.6;30.3;3.2;15.5;0.5;0;73.2;71.8;0;243.7;56;1.8;52;-
CDF;200207;15.1;12.7;89.36;204;901.7;25.5;2.5;14.5;2.8;0;150.9;77.6;0;179.6;41;2.0;60;-
CDF;200208;14.3;13.1;61.41;168;901.3;25.2;4.1;14.3;4.5;0;303.6;81.3;0;144.5;36;1.6;67;-
CDF;200209;12.1;10.6;40.93;138;902.1;20.5;-0.7;10.5;0.1;0;97.1;81.9;0;134.4;39;2.1;67;-
CDF;200210;8.6;8.6;29.89;95;899.1;19.4;-3.0;8.3;-2.3;0;198.6;78.8;0;131.0;42;2.5;70;-
CDF;200211;4.8;7.4;6.53;43;894.6;13.0;-3.0;4.5;-4.8;13;375.8;87.2;1;57.5;22;1.9;83;-
CDF;200212;2.5;6.4;3.23;34;897.9;10.4;-8.4;2.4;-9.1;6;131.7;86.9;0;52.5;22;2.1;76;-
CDF;200301;1.4;4.6;3.40;52;897.5;10.3;-22.3;-2.3;-26.4;86;106.0;83.5;8;79.1;31;2.9;68;-
CDF;200302;1.2;3.4;6.03;110;900.0;10.1;-25.9;-4.5;-27.5;74;40.3;76.4;46;141.6;54;1.6;51;-
CDF;200303;1.9;5.4;11.78;170;904.7;16.0;-5.5;4.1;-7.9;1;33.0;66.5;2;230.6;68;2.2;37;-
CDF;200304;5.3;6.5;26.25;190;898.5;19.3;-9.8;6.2;-14.2;8;87.2;68.0;0;191.4;51;2.7;53;-
CDF;200305;11.3;10.1;52.44;192;902.9;24.0;-2.5;11.3;-5.4;0;102.3;75.4;0;155.2;36;2.1;69;-
CDF;200306;18.9;13.5;143.16;273;903.2;29.3;7.1;18.8;2.9;0;51.9;64.8;0;268.4;62;1.6;53;-
CDF;200307;17.4;12.4;135.56;234;903.2;30.4;3.9;16.3;0.7;0;99.7;69.5;0;236.3;54;1.8;48;-
CDF;200308;18.5;13.0;166.27;228;904.4;32.5;4.0;18.9;1.0;0;81.1;63.4;0;280.4;69;1.5;39;-
CDF;200309;13.8;9.9;70.13;164;905.0;24.7;0.7;11.2;-3.0;0;80.1;75.7;0;197.8;57;1.7;47;-
CDF;200310;8.4;7.4;24.02;95;896.6;20.2;-16.1;4.5;-20.8;3;187.2;83.6;0;128.2;41;2.2;63;-
CDF;200311;4.8;6.5;15.68;64;900.1;17.2;-4.8;4.3;-7.9;16;60.0;79.8;1;119.9;47;1.4;42;-
CDF;200312;2.3;5.0;6.67;48;900.6;12.9;-14.9;0.0;-17.9;33;51.2;79.9;4;105.1;44;2.2;47;-
CDF;200401;1.8;5.0;2.23;45;894.6;9.3;-17.4;-1.4;-14.1;114;206.7;86.8;20;46.3;18;2.9;84;-
CDF;200402;1.0;4.4;5.69;99;901.3;13.3;-17.1;-1.4;-17.6;30;35.2;78.0;13;142.2;52;2.4;51;25.4
