stn;time;pva200m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200mn;ure200m0;hto000m0;ets150m0;gre000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;tre005mn
CHD;200001;4.0;909.9;8.6;-16.6;-3.7;55;41.9;45.0;81.6;29;-;-;-;-;1.3;48;-
CHD;200002;5.0;909.9;14.5;-12.0;0.6;42;146.2;27.0;77.6;23;-;-;-;-;1.8;66;-
CHD;200003;5.4;906.7;16.1;-6.5;3.2;37;57.6;27.0;72.4;4;-;-;-;-;2.4;60;-
CHD;200004;7.1;897.1;23.0;-3.0;7.4;0;64.3;27.0;71.9;0;-;-;-;-;2.7;66;-
CHD;200005;9.6;905.2;25.0;2.0;12.1;0;86.6;30.0;71.5;0;-;-;-;-;2.5;64;-
CHD;200006;12.0;908.7;28.3;4.0;15.7;0;70.0;34.0;69.5;0;-;-;-;-;3.3;48;-
CHD;200007;11.3;904.2;30.5;3.4;13.8;0;190.8;37.0;73.6;0;-;-;-;-;2.6;68;-
CHD;200008;13.0;908.0;31.0;6.0;16.2;0;89.1;31.0;73.0;0;-;-;-;-;2.4;48;-
CHD;200009;10.9;905.1;24.1;2.0;12.8;0;83.2;30.0;74.8;0;-;-;-;-;2.0;42;-
CHD;200010;9.0;904.0;18.8;-1.8;8.1;0;96.1;38.0;82.4;0;-;-;-;-;1.1;69;-
CHD;200011;6.3;898.1;15.5;-8.5;2.9;6;93.6;36.0;84.4;1;-;-;-;-;1.1;72;-
CHD;200012;5.6;900.9;13.1;-11.4;1.3;24;56.0;29.0;81.8;4;-;-;-;-;1.1;68;-
CHD;200101;5.1;900.3;6.9;-10.4;-0.7;48;121.7;45.0;86.2;15;-;-;-;-;1.6;71;-
CHD;200102;4.9;904.4;18.7;-12.6;1.1;11;30.4;28.0;72.2;4;-;-;-;-;1.9;59;-
CHD;200103;6.9;896.5;18.5;-7.6;5.3;16;236.4;35.0;78.3;1;-;-;-;-;1.9;85;-
CHD;200104;6.3;901.7;17.6;-6.5;4.3;33;190.7;35.0;79.3;1;-;-;-;-;1.4;76;-
CHD;200105;10.5;904.2;26.9;1.5;12.7;0;71.8;33.0;75.4;0;-;-;-;-;1.5;64;-
CHD;200106;10.3;906.7;28.9;0.2;12.8;0;209.0;31.0;72.7;0;-;-;-;-;1.7;49;-
CHD;200107;13.2;905.8;28.0;5.2;16.1;0;110.9;39.0;73.2;0;-;-;-;-;1.6;56;-
CHD;200108;13.7;907.4;31.0;5.7;17.0;0;116.7;27.0;72.5;0;-;-;-;-;1.3;45;-
CHD;200109;9.2;904.3;21.0;0.6;9.6;1;168.4;40.0;78.1;0;-;-;-;-;1.9;74;-
CHD;200110;10.1;908.2;24.6;1.0;11.1;0;59.0;31.0;76.8;0;-;-;-;-;1.5;36;-
CHD;200111;5.3;907.3;13.1;-11.6;0.3;25;115.9;13.0;83.5;2;-;-;-;-;1.9;59;-
CHD;200112;4.2;907.0;7.9;-19.1;-3.8;41;56.9;46.0;82.4;5;-;-;-;-;2.0;50;-
CHD;200201;4.2;911.3;13.0;-17.3;-2.1;3;25.7;38.0;75.9;8;-;-;-;-;1.3;39;-
CHD;200202;5.7;905.0;17.0;-12.0;2.6;42;103.3;38.0;76.5;3;-;-;-;-;2.2;65;-
CHD;200203;5.7;903.8;17.6;-5.4;4.8;16;97.8;22.0;70.1;1;-;-;-;-;2.2;54;-
