stn;time;tso010m0;pva200m0;ets150m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;tre005mn;ure200mn
DAV;200001;1.0;3.2;4.94;73;843.2;3.8;-21.8;-6.4;67;72.6;80.6;71;130.4;63;1.3;41;-28.8;-
DAV;200002;0.7;4.0;3.76;100;843.3;8.2;-16.0;-3.0;106;88.4;80.2;101;99.0;42;2.1;62;-20.4;-
DAV;200003;0.5;4.4;5.40;153;840.5;10.0;-12.7;-0.9;105;108.0;76.9;99;123.6;41;2.4;66;-18.8;-
DAV;200004;2.1;5.2;8.46;203;833.7;16.4;-7.9;3.4;50;51.1;69.0;57;130.0;41;2.5;68;-11.3;-
DAV;200005;10.9;7.7;17.52;222;841.7;20.0;-1.7;8.7;0;66.7;70.6;0;140.4;40;2.6;70;-5.8;-
DAV;200006;14.6;9.3;93.58;254;846.0;25.2;-0.1;12.0;0;63.9;68.7;0;200.8;55;3.0;56;-3.9;-
DAV;200007;14.5;9.1;89.42;224;840.6;25.5;0.1;10.3;1;234.0;74.8;0;155.7;43;3.1;71;-3.8;-
DAV;200008;15.6;10.4;114.68;212;845.6;25.3;5.0;13.1;0;185.1;72.4;0;205.8;62;2.6;55;0.2;-
DAV;200009;12.4;8.5;63.05;167;841.8;20.5;0.3;9.4;0;85.0;74.0;0;174.0;57;2.7;56;-4.6;-
DAV;200010;8.4;7.0;18.48;89;840.4;17.4;-1.0;5.9;13;76.4;77.1;0;93.6;35;2.7;69;-6.0;-
DAV;200011;3.3;4.9;8.51;73;834.1;9.9;-9.7;-0.4;113;144.2;82.3;15;91.8;44;2.3;65;-12.9;-
DAV;200012;1.3;4.3;7.54;54;836.3;10.6;-13.7;-1.0;29;14.4;73.4;10;84.0;43;1.8;59;-19.2;-
DAV;200101;0.6;3.9;3.34;62;835.3;6.4;-15.4;-4.0;87;64.1;81.7;35;82.5;40;1.8;64;-22.1;-
DAV;200102;0.7;3.7;4.53;107;838.9;9.5;-17.9;-3.2;108;90.5;76.2;65;112.8;50;2.1;60;-20.6;-
DAV;200103;1.0;5.2;4.25;148;831.7;16.1;-11.3;1.5;63;92.6;76.9;53;100.8;33;2.5;78;-16.3;-
DAV;200104;2.9;4.6;6.31;199;836.1;13.7;-9.3;0.6;92;82.3;74.4;11;97.9;31;2.9;81;-11.6;-
