stn;time;pva200m0;ets150m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;rre150m0;ure200m0;su2000m0;sremaxmv;fkl010m0;tre005mn;hns000m0;ure200mn;hto000m0
ENG;200001;4.0;2.97;44;905.7;9.7;-19.5;-3.6;62.3;81.6;52.7;46;0.8;-21.0;-;-;-
ENG;200002;5.1;4.04;77;905.2;12.0;-11.6;0.7;115.4;78.5;81.2;39;0.8;-13.5;-;-;-
ENG;200003;5.7;4.75;114;902.5;16.0;-7.6;2.2;144.4;80.0;97.0;35;1.0;-11.3;-;-;-
ENG;200004;6.6;22.46;167;892.8;20.0;-3.4;7.1;78.3;68.0;141.8;45;2.2;-6.0;-;-;-
ENG;200005;10.0;55.65;200;900.9;24.2;1.9;12.0;101.7;73.1;153.0;43;1.4;-2.0;-;-;-
ENG;200006;12.3;86.34;219;905.0;27.5;3.8;14.5;166.0;76.3;187.3;50;1.3;-0.1;-;-;-
ENG;200007;12.2;54.26;180;899.9;26.3;2.4;12.5;277.2;84.1;129.4;35;1.1;-0.9;-;-;-
ENG;200008;13.6;75.01;175;904.1;27.7;8.1;15.7;205.6;78.3;166.5;50;1.1;4.5;-;-;-
ENG;200009;11.2;47.44;147;900.8;21.9;1.8;11.9;168.7;80.9;168.4;59;1.3;-1.6;-;-;-
ENG;200010;9.0;13.98;67;899.9;19.1;-2.0;7.5;121.2;86.7;68.9;28;0.9;-4.9;-;-;-
ENG;200011;5.8;8.93;50;893.6;15.9;-8.0;2.6;142.6;80.8;59.1;41;1.5;-12.3;-;-;-
ENG;200012;5.2;4.25;32;896.2;14.2;-12.2;1.8;23.2;74.4;27.1;34;0.9;-15.9;-;-;-
ENG;200101;4.7;2.59;42;895.9;10.2;-13.2;-1.4;94.4;82.8;47.8;42;0.9;-16.1;-;-;-
ENG;200102;4.7;4.74;79;900.2;13.8;-13.6;0.3;100.4;74.9;85.5;43;1.6;-17.8;-;-;-
ENG;200103;6.8;3.57;101;891.6;19.2;-7.9;4.6;172.2;80.6;71.0;26;1.1;-13.7;-;-;-
ENG;200104;6.1;13.53;150;897.0;16.5;-6.9;3.5;221.1;78.4;94.0;30;1.4;-11.0;-;-;-
ENG;200105;10.5;54.98;208;900.3;25.6;1.2;12.1;89.8;75.7;155.1;43;1.6;-1.9;-;-;-
ENG;200106;10.9;78.50;218;902.5;26.9;-0.2;11.9;256.4;79.0;176.1;47;1.2;-2.7;-;-;-
ENG;200107;13.4;77.95;205;901.8;27.1;6.3;15.0;183.3;80.1;170.6;46;1.2;3.2;-;-;-
ENG;200108;14.1;74.82;189;903.4;29.4;4.7;15.8;161.8;80.1;185.4;56;1.0;0.3;-;-;-
ENG;200109;9.5;21.63;107;899.7;19.0;-1.1;8.2;192.6;86.7;70.5;25;0.8;-3.9;-;-;-
ENG;200110;9.7;37.22;112;904.4;21.6;1.4;10.7;63.4;76.7;166.9;69;0.9;-0.5;-;-;-
ENG;200111;5.4;5.73;51;903.1;12.0;-10.8;-0.4;127.3;89.2;52.2;36;0.8;-14.6;-;-;-
