stn;time;pva200m0;ets150m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;rre150m0;ure200m0;su2000m0;sremaxmv;nto000m0;hns000m0;hto000m0;ure200mn;fkl010m0
GRH;200001;2.4;8.11;68;803.9;2.5;-17.7;-5.7;182.1;60.4;89.4;62;39;136;205;-;5.6
GRH;200002;3.3;3.98;106;804.4;4.3;-13.5;-4.2;319.9;77.1;79.2;39;67;299;299;-;6.2
GRH;200003;3.8;5.34;161;801.9;4.8;-11.9;-2.9;263.8;77.1;100.2;35;72;282;429;-;5.9
GRH;200004;4.6;5.53;191;795.7;9.5;-8.6;0.3;115.7;73.9;70.8;23;75;81;425;-;6.7
GRH;200005;6.9;14.51;226;804.2;14.9;-2.9;5.8;83.0;76.0;143.5;41;68;13;225;-;5.6
GRH;200006;8.6;74.22;234;808.7;20.0;-0.8;9.3;86.2;75.2;171.3;48;60;3;17;-;5.7
GRH;200007;8.5;63.88;204;803.3;18.3;-1.2;7.4;201.2;83.4;136.8;38;70;11;0;-;4.9
GRH;200008;9.4;106.60;200;808.5;22.4;4.4;11.1;115.7;73.5;186.5;56;54;0;0;-;5.0
GRH;200009;7.7;64.85;146;804.4;17.9;-0.7;7.7;166.7;74.7;151.0;52;56;10;1;-;5.1
GRH;200010;6.1;38.78;78;802.5;12.6;-4.4;3.6;152.2;78.3;81.6;33;70;25;0;-;5.6
GRH;200011;4.1;6.81;54;795.6;8.7;-8.6;-1.7;189.9;77.0;37.3;24;67;209;58;-;6.1
GRH;200012;3.6;7.58;51;797.7;6.9;-15.6;-2.0;69.5;66.1;52.4;41;60;89;94;-;5.9
GRH;200101;3.0;4.82;60;796.2;3.3;-14.0;-5.0;69.3;68.3;53.8;37;62;92;149;-;6.0
GRH;200102;3.1;5.55;109;799.9;5.8;-16.4;-4.9;151.5;70.6;93.5;47;61;225;212;-;5.7
GRH;200103;4.7;2.68;146;793.7;10.3;-12.9;-1.2;209.8;82.8;54.1;19;83;254;261;-;5.9
GRH;200104;4.4;3.54;202;797.5;7.6;-9.7;-2.2;293.7;83.5;53.0;17;84;346;302;-;5.9
GRH;200105;7.0;23.90;244;803.7;17.9;-2.1;6.2;56.0;74.2;159.7;45;65;0;163;-;5.3
GRH;200106;7.5;69.85;233;805.3;21.7;-4.4;6.5;238.1;78.3;171.2;48;61;54;4;-;4.9
GRH;200107;9.5;84.32;214;806.0;19.6;1.0;9.9;106.6;78.0;164.7;46;60;0;0;-;5.2
GRH;200108;9.7;109.84;202;807.9;21.2;2.5;11.4;147.7;74.0;193.2;58;51;0;0;-;5.0
GRH;200109;6.5;27.75;121;801.8;14.8;-3.5;3.1;255.8;85.3;82.5;28;80;75;7;-;5.0
