stn;time;pva200m0;nto000m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;rre150m0;ure200m0;su2000m0;sremaxmv;fkl010m0;hns000m0;ure200mn
GSB;200001;2.1;32;57;753.4;2.9;-17.5;-7.4;93.3;58.7;63.8;56;4.7;-;-
GSB;200002;2.7;54;117;754.4;4.1;-16.3;-5.7;323.9;66.7;99.8;46;5.8;-;-
GSB;200003;3.0;63;175;751.8;2.1;-14.8;-5.0;183.8;71.7;126.9;40;5.5;-;-
GSB;200004;4.3;80;187;746.2;6.1;-9.5;-2.7;304.7;84.3;74.4;21;6.4;-;-
GSB;200005;6.2;68;225;755.4;9.9;-4.9;2.8;117.0;83.0;139.3;35;3.9;-;-
GSB;200006;7.4;62;255;760.1;15.2;-1.7;6.9;133.3;76.2;196.4;50;5.2;-;-
GSB;200007;7.0;68;224;755.0;16.9;-3.3;5.4;218.3;79.3;166.9;42;5.8;-;-
GSB;200008;8.0;57;210;760.4;19.0;0.7;8.9;123.5;72.6;195.8;51;4.8;-;-
GSB;200009;6.4;51;175;756.0;15.1;-2.6;5.6;225.9;71.9;190.5;59;5.4;-;-
GSB;200010;5.2;70;94;753.4;6.6;-7.2;0.3;430.6;83.7;83.6;32;5.1;-;-
GSB;200011;3.4;70;60;746.1;5.0;-11.7;-5.1;374.9;80.4;44.5;30;5.0;-;-
GSB;200012;3.1;58;38;748.3;4.8;-16.7;-5.4;201.8;73.8;14.1;25;4.2;-;-
GSB;200101;2.6;63;58;746.2;0.0;-15.5;-7.9;164.4;74.0;45.2;40;4.5;-;-
GSB;200102;2.6;55;111;749.7;3.0;-18.1;-7.1;96.2;70.8;97.0;47;5.7;-;-
GSB;200103;4.0;82;159;744.8;6.8;-15.2;-3.5;440.8;83.9;47.9;15;4.0;-;-
GSB;200104;3.6;77;233;747.7;3.9;-13.6;-4.9;266.7;83.8;91.6;26;5.8;-;-
GSB;200105;6.2;71;250;754.8;14.2;-3.6;2.9;158.6;83.9;162.4;41;4.0;-;-
GSB;200106;6.0;52;288;756.7;17.3;-7.3;4.4;292.6;73.4;225.8;57;5.1;-;-
GSB;200107;8.1;62;237;757.8;17.0;-2.2;7.7;166.5;77.4;200.8;50;5.5;-;-
GSB;200108;8.4;53;225;759.9;18.8;-0.3;9.3;88.0;73.1;222.1;58;4.5;-;-
GSB;200109;5.3;77;144;752.8;11.4;-6.7;0.7;192.1;84.1;119.3;37;5.8;-;-
GSB;200110;6.0;51;109;759.1;13.3;-2.8;4.1;82.7;74.6;144.9;55;4.6;-;-
GSB;200111;3.2;58;64;752.5;7.3;-15.0;-4.0;158.6;71.1;70.6;48;4.9;-;-
