stn;time;pva200m0;ets150m0;nto000m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;tre005mn;ure200mn
GVE;200001;5.5;2.86;67;48;977.3;11.8;-9.3;1.3;3;19.2;79.8;1;79.3;32;1.7;-12.5;-
GVE;200002;6.6;6.98;68;82;976.4;16.2;-3.6;4.9;1;95.7;75.3;0;111.1;41;2.2;-7.0;-
GVE;200003;6.7;31.53;54;147;972.2;19.9;-2.9;7.1;0;44.2;66.7;0;192.8;56;2.6;-6.4;-
GVE;200004;8.6;48.75;68;178;960.6;26.1;0.1;10.8;0;78.8;67.2;0;171.3;45;2.4;-4.2;-
GVE;200005;12.1;79.79;58;233;968.4;28.3;6.5;16.5;0;52.7;65.2;0;234.8;54;2.1;1.5;-
GVE;200006;13.4;127.81;42;271;971.7;31.8;8.4;19.8;0;23.1;59.2;0;291.1;66;2.2;3.2;-
GVE;200007;13.2;99.38;60;226;967.0;34.9;7.8;18.5;0;120.6;63.5;0;224.2;51;2.4;3.0;-
GVE;200008;15.7;95.48;47;209;970.3;34.1;11.7;20.7;0;109.2;66.4;0;260.3;64;1.4;6.6;-
GVE;200009;13.2;60.40;48;169;967.8;29.7;7.8;16.8;0;105.4;69.8;0;237.4;68;1.5;2.5;-
GVE;200010;10.8;20.50;71;89;968.1;20.5;2.6;12.2;0;130.5;76.1;0;110.1;36;1.8;-1.3;-
GVE;200011;8.0;8.38;76;45;962.8;17.7;-1.6;7.3;0;148.7;78.4;0;56.4;22;1.9;-5.3;-
GVE;200012;7.2;4.10;81;34;965.9;13.6;-4.3;5.3;0;67.9;79.7;0;49.0;21;1.5;-7.1;-
GVE;200101;6.4;2.45;83;40;965.8;11.7;-5.2;3.4;3;146.4;81.4;0;50.8;20;2.2;-7.5;-
GVE;200102;5.9;8.28;62;89;970.3;15.9;-6.7;4.8;0;44.2;67.7;0;114.3;43;2.7;-9.6;-
GVE;200103;8.9;15.01;82;96;960.6;22.2;-1.5;9.0;5;282.1;78.0;0;77.9;23;2.6;-4.9;-
GVE;200104;7.7;43.06;76;166;966.5;20.9;0.3;8.5;0;113.7;70.3;0;144.1;38;2.6;-3.4;-
GVE;200105;12.6;74.06;64;232;967.4;30.6;4.8;16.3;0;73.5;69.9;0;223.3;51;2.2;2.1;-
GVE;200106;12.7;103.31;54;256;969.9;30.4;3.5;17.2;0;126.9;66.8;0;261.8;60;1.9;-0.9;-
GVE;200107;15.6;93.99;56;242;968.2;31.9;7.5;20.1;0;107.8;67.9;0;248.3;56;2.0;6.5;-
GVE;200108;16.3;81.90;49;213;969.7;32.1;8.8;20.4;0;72.5;70.0;0;250.6;62;1.6;4.1;-
GVE;200109;11.3;37.40;69;141;968.1;24.6;2.6;13.1;0;96.6;75.9;0;150.9;43;1.8;-0.2;-
GVE;200110;13.2;21.61;58;114;971.9;25.9;5.8;14.1;0;80.4;82.9;0;173.1;56;1.3;1.8;-
GVE;200111;6.7;8.81;77;49;973.6;12.4;-3.5;4.3;0;34.6;79.2;0;58.9;23;2.9;-6.6;-
GVE;200112;5.5;5.86;76;37;974.1;12.0;-8.3;1.6;9;38.6;74.4;0;62.7;26;3.5;-13.7;-
GVE;200201;5.8;2.62;79;46;978.5;15.5;-8.8;1.4;7;44.0;83.6;1;73.5;29;1.3;-11.3;-
GVE;200202;7.2;5.27;73;73;970.7;16.4;-4.1;6.3;0;79.1;74.9;0;88.2;33;2.7;-7.2;-
GVE;200203;7.2;35.19;55;147;970.1;20.7;-1.9;7.8;5;57.2;68.4;0;189.9;55;2.3;-5.6;-
GVE;200204;7.6;66.88;58;196;965.7;22.4;-1.3;10.5;0;22.6;61.7;0;215.8;57;2.4;-4.8;-
GVE;200205;10.7;64.64;72;193;966.8;27.5;4.1;13.4;0;149.0;72.3;0;181.9;42;1.4;-1.3;-
GVE;200206;14.6;115.42;54;264;968.7;35.3;7.3;20.5;0;63.8;62.5;0;275.9;63;1.9;3.0;-
GVE;200207;15.0;100.33;53;235;967.8;30.8;8.4;19.9;0;117.8;66.7;0;248.1;56;2.3;3.8;-
