stn;time;pva200m0;nto000m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;ure200m0;su2000m0;sremaxmv;fkl010m0;ure200mn
JUN;200001;1.3;40;83;653.5;-5.6;-24.4;-12.6;55.9;168.2;70;11.7;-
JUN;200002;1.7;64;114;654.2;-2.2;-24.3;-12.3;68.9;118.9;48;12.4;-
JUN;200003;1.7;69;180;652.4;-4.8;-22.0;-11.9;66.1;129.5;38;12.4;-
JUN;200004;2.1;77;202;648.3;1.6;-16.5;-9.1;66.7;124.6;32;14.5;-
JUN;200005;3.7;71;272;658.1;4.7;-12.8;-4.0;79.5;169.2;38;9.9;-
JUN;200006;4.4;62;301;663.5;8.4;-9.2;-0.6;73.8;202.4;45;11.1;-
JUN;200007;3.9;73;257;658.2;6.9;-11.3;-2.8;78.0;150.0;33;10.4;-
JUN;200008;4.5;58;252;664.3;8.7;-6.6;0.7;71.3;212.8;51;8.3;-
JUN;200009;3.7;59;193;659.6;9.7;-10.1;-1.7;69.6;185.8;53;7.6;-
JUN;200010;3.0;70;111;655.8;3.8;-16.0;-5.3;72.2;107.7;38;8.6;-
JUN;200011;2.0;73;71;647.6;0.5;-17.3;-10.7;75.0;82.6;34;8.9;-
JUN;200012;1.8;64;61;649.5;1.7;-24.4;-10.7;65.8;99.3;44;7.9;-
JUN;200101;1.8;61;65;647.0;-3.1;-22.7;-12.6;69.7;115.8;48;6.5;-
JUN;200102;1.5;62;95;649.8;-2.7;-28.1;-13.6;65.4;127.9;54;9.0;-
JUN;200103;2.5;86;105;646.3;-1.5;-22.7;-10.4;84.8;68.3;20;7.3;-
JUN;200104;2.2;78;180;648.7;0.7;-22.4;-11.3;82.4;120.1;31;7.8;-
JUN;200105;4.0;68;241;657.9;4.7;-11.7;-2.9;81.2;200.9;45;7.6;-
JUN;200106;3.4;62;271;659.5;6.7;-14.7;-3.3;70.5;203.8;45;6.9;-
JUN;200107;4.8;67;248;661.7;12.0;-8.3;-0.1;79.3;186.9;41;6.9;-
JUN;200108;4.6;60;239;664.1;11.5;-8.5;1.4;69.9;230.2;55;7.1;-
JUN;200109;3.1;79;158;655.0;2.6;-13.7;-6.5;81.7;95.5;27;7.3;-
JUN;200110;3.1;52;143;662.0;6.6;-10.2;-2.1;60.8;193.7;69;8.3;-
JUN;200111;1.9;58;84;653.7;3.1;-23.0;-9.8;65.8;129.2;54;7.9;-
JUN;200112;1.5;43;68;650.0;-3.2;-30.7;-14.0;65.0;140.5;62;10.1;-
JUN;200201;1.3;37;87;656.7;-2.2;-22.6;-10.4;48.1;181.2;75;9.5;-
JUN;200202;2.0;75;88;651.0;0.8;-24.2;-11.6;76.7;72.5;31;12.1;-
JUN;200203;2.0;54;183;652.4;-2.9;-21.8;-10.8;68.9;200.4;59;11.4;-
JUN;200204;2.2;69;242;650.5;-0.8;-19.8;-10.3;77.5;179.6;47;9.7;-
JUN;200205;3.1;70;244;654.9;3.3;-14.6;-5.5;76.3;178.4;40;11.3;-
JUN;200206;4.5;66;290;662.4;11.8;-10.2;-0.1;72.8;228.3;51;9.1;-
JUN;200207;4.6;66;258;661.0;8.9;-8.2;-0.1;77.5;200.2;44;7.8;-
JUN;200208;4.7;71;216;660.5;6.7;-6.0;-0.6;80.8;167.6;40;5.9;-
JUN;200209;3.5;64;188;658.2;6.1;-14.4;-3.7;73.1;156.9;45;6.2;-
JUN;200210;2.6;66;116;655.3;3.6;-16.4;-5.5;62.6;135.9;48;7.8;-
JUN;200211;2.4;79;58;648.9;-1.2;-20.4;-9.7;77.8;54.8;23;11.4;-
JUN;200212;1.9;64;58;650.3;-2.0;-18.5;-10.7;68.8;92.0;40;6.8;-
JUN;200301;1.4;54;69;646.3;-3.4;-28.4;-14.1;62.8;110.9;46;7.3;-
JUN;200302;1.0;34;141;647.6;-7.4;-27.3;-16.0;54.8;182.8;77;7.2;-
JUN;200303;1.5;43;214;655.9;1.9;-19.5;-9.5;49.6;246.9;73;6.3;-
JUN;200304;1.8;61;245;651.7;1.3;-24.4;-9.6;60.6;215.2;56;7.4;-
JUN;200305;3.6;77;248;659.2;5.5;-16.5;-4.1;77.9;170.6;38;8.0;-
JUN;200306;5.3;66;300;664.9;10.6;-3.0;2.2;74.4;224.0;50;6.3;-
JUN;200307;4.8;67;264;663.4;9.1;-6.3;1.0;72.4;197.4;43;5.9;-
JUN;200308;5.5;57;237;666.5;12.0;-8.1;3.0;73.1;234.0;56;5.0;-
JUN;200309;3.2;55;208;662.0;8.9;-10.5;-1.7;62.1;220.3;62;5.1;-
JUN;200310;2.1;59;124;651.3;5.0;-20.1;-7.3;60.9;150.1;54;6.5;-
JUN;200311;2.4;61;76;654.7;4.5;-16.9;-7.1;67.9;110.6;46;7.3;-
JUN;200312;1.8;63;55;651.4;-2.8;-27.6;-11.2;70.2;104.4;46;8.9;-
JUN;200401;1.7;83;57;644.2;-2.9;-26.2;-13.9;76.0;52.7;22;7.1;-
JUN;200402;1.4;65;117;650.4;0.7;-27.0;-12.4;60.0;142.7;58;6.7;5.4
JUN;200403;1.6;60;186;651.3;2.0;-23.5;-12.0;65.9;160.3;48;5.6;6.0
JUN;200404;2.3;76;216;649.5;2.7;-19.3;-9.3;73.8;144.8;38;5.9;3.3
JUN;200405;2.7;68;276;653.6;3.4;-15.1;-6.3;70.5;189.3;42;3.9;7.4
JUN;200406;4.0;72;269;660.9;7.7;-9.4;-2.0;74.0;167.8;37;4.0;14.4
JUN;200407;4.7;69;240;662.2;7.9;-9.5;-0.1;76.0;166.1;37;4.0;2.6
JUN;200408;5.1;74;212;661.4;9.6;-6.8;0.7;78.2;158.0;38;4.1;5.8
JUN;200409;3.6;59;198;662.8;9.0;-13.1;-0.7;64.5;190.8;54;5.1;2.4
JUN;200410;3.5;79;108;655.5;4.3;-15.6;-3.9;76.6;98.1;35;7.5;8.9
JUN;200411;2.1;67;77;653.2;-2.0;-22.5;-9.7;66.7;108.0;45;10.9;9.8
JUN;200412;1.6;51;67;651.8;1.2;-22.6;-10.4;58.1;132.3;58;8.4;7.6
JUN;200501;1.2;50;80;651.8;0.3;-29.5;-13.2;56.5;148.2;62;8.7;3.2
JUN;200502;1.2;55;122;643.3;0.0;-27.3;-17.8;70.5;127.9;54;6.8;17.3
JUN;200503;1.8;53;206;649.9;3.0;-26.8;-11.6;63.9;206.7;61;6.7;9.1
JUN;200504;2.4;75;226;651.1;3.1;-17.7;-8.7;74.0;159.8;42;7.6;3.2
JUN;200505;3.4;71;272;657.6;8.9;-16.0;-4.3;73.8;191.9;43;6.7;3.5
JUN;200506;4.3;63;296;662.6;11.8;-12.2;-0.4;70.2;224.4;50;5.9;10.5
JUN;200507;5.1;75;238;661.8;12.7;-8.1;0.1;82.3;147.6;32;7.1;12.8
JUN;200508;4.4;64;228;660.8;9.0;-10.6;-1.0;77.5;182.8;44;6.8;11.3
JUN;200509;4.3;60;194;661.2;7.9;-11.3;-1.1;76.1;174.4;50;6.8;5.5
JUN;200510;2.8;49;135;660.6;6.4;-11.2;-2.0;57.5;181.9;65;4.9;8.0
JUN;200511;2.0;51;91;651.3;0.9;-22.9;-10.4;65.6;143.6;60;5.5;11.5
JUN;200512;1.5;56;62;647.0;-4.4;-29.1;-14.0;69.9;113.0;50;8.0;5.9
JUN;200601;1.3;41;85;651.2;-1.2;-26.0;-12.9;57.8;169.2;70;7.7;3.4
JUN;200602;1.5;65;110;644.9;-0.6;-22.9;-14.1;72.8;109.7;46;7.9;3.2
JUN;200603;2.0;70;165;644.8;-0.9;-29.6;-12.8;80.1;126.3;38;7.1;11.4
JUN;200604;2.5;71;234;651.5;-0.8;-19.1;-8.9;78.5;158.3;41;5.9;8.5
JUN;200605;3.6;87;218;657.1;2.9;-15.2;-5.0;84.9;111.1;25;7.2;15.1
JUN;200606;4.2;59;287;663.1;9.7;-16.3;-1.0;71.0;198.4;44;5.4;4.7
JUN;200607;5.7;48;281;667.1;9.7;-2.5;2.8;76.1;240.3;53;4.8;2.8
JUN;200608;4.1;75;206;657.2;2.8;-11.6;-3.4;85.4;108.3;26;5.6;6.8
JUN;200609;4.4;61;198;662.1;8.5;-6.8;0.1;73.2;185.7;54;5.4;3.0
JUN;200610;3.3;59;130;659.3;5.9;-11.4;-2.3;64.1;149.2;54;4.0;5.1
JUN;200611;2.2;54;80;656.8;1.5;-20.9;-7.9;65.5;115.5;48;5.0;2.8
JUN;200612;1.5;37;70;657.8;-0.2;-18.3;-9.3;50.8;147.8;65;5.4;5.7
JUN;200701;2.0;69;67;654.2;-0.4;-25.1;-10.6;72.1;95.6;40;4.9;3.6
JUN;200702;1.7;58;110;649.1;0.3;-17.7;-10.3;63.4;115.2;48;4.0;7.4
JUN;200703;1.6;65;188;649.3;-3.8;-23.2;-12.5;70.2;167.1;50;5.2;4.1
JUN;200704;2.7;45;282;658.2;4.1;-14.8;-5.7;68.2;245.9;67;4.0;7.2
JUN;200705;3.5;76;253;655.0;6.9;-14.1;-4.9;81.9;135.2;34;5.4;9.4
JUN;200706;4.6;71;290;658.7;7.0;-9.9;-1.4;83.1;167.8;40;3.4;11.2
JUN;200707;4.6;69;255;661.1;8.7;-10.5;-1.0;81.0;157.7;38;4.7;9.3
JUN;200708;4.7;69;238;660.7;8.7;-7.7;-0.2;79.4;177.3;47;4.2;6.9
JUN;200709;3.0;48;220;659.7;6.0;-13.5;-4.1;67.6;204.7;59;4.5;6.1
JUN;200710;2.3;45;150;659.1;5.7;-21.7;-4.5;52.9;177.4;64;4.6;2.3
JUN;200711;1.9;56;83;652.2;3.7;-24.4;-10.2;65.5;107.3;45;7.7;4.5
JUN;200712;1.4;50;68;653.3;-0.1;-20.5;-12.6;59.8;134.5;59;7.6;5.1
JUN;200801;1.6;66;76;654.3;1.3;-19.7;-10.3;60.3;113.7;48;7.8;3.5
JUN;200802;1.6;42;137;657.7;0.5;-19.8;-9.5;54.0;171.8;70;5.5;5.3
JUN;200803;1.7;76;174;643.4;-3.3;-25.1;-14.1;76.6;119.1;36;8.4;12.2
JUN;200804;2.1;78;229;647.9;-2.0;-24.4;-11.1;76.6;112.1;31;6.6;12.2
JUN;200805;3.6;78;275;655.8;4.8;-14.1;-4.5;80.9;150.0;37;6.3;5.5
JUN;200806;4.6;65;301;660.6;10.1;-10.8;-0.7;79.9;166.1;40;3.7;6.3
JUN;200807;4.5;63;262;661.8;8.8;-8.6;-0.2;75.2;176.3;43;4.2;4.0
JUN;200808;4.4;62;247;661.8;9.6;-8.0;0.6;69.1;210.3;55;4.0;5.1
JUN;200809;3.1;58;196;658.2;5.4;-14.0;-3.5;63.0;189.2;55;4.7;3.0
JUN;200810;2.9;61;132;657.8;3.3;-16.4;-4.5;67.9;137.7;50;5.1;3.1
JUN;200811;2.2;71;77;650.1;-0.7;-24.2;-10.9;79.4;89.9;38;8.2;5.3
JUN;200812;1.6;69;56;648.8;-5.0;-21.6;-13.4;74.8;74.2;33;8.7;5.0
JUN;200901;1.2;46;85;645.7;-2.0;-22.8;-13.9;55.2;142.7;60;5.1;2.6
JUN;200902;1.4;74;110;644.3;-0.8;-26.5;-16.1;78.3;83.3;35;8.2;15.2
JUN;200903;1.5;71;173;647.8;-2.3;-23.1;-12.8;67.1;122.8;37;9.1;4.3
