stn;time;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;rre150m0;ure200m0;su2000m0;sremaxmv;fkl010m0;ets150m0;nto000m0;tre005mn;hns000m0;hto000m0;ure200mn
LUZ;200001;5.3;35;971.8;11.8;-9.3;0.1;19.8;84.6;41.6;19;1.3;1.61;84;-15.2;15;2;-
LUZ;200002;6.5;67;970.2;15.8;-3.7;3.9;84.1;79.9;87.5;34;1.4;5.57;66;-6.7;1;0;-
LUZ;200003;7.0;104;967.1;19.7;-2.9;6.3;74.7;73.1;120.9;36;1.5;22.38;65;-6.6;0;0;-
LUZ;200004;8.2;168;955.7;25.5;-0.7;10.4;44.4;67.2;165.7;44;1.8;51.79;65;-4.9;0;0;-
LUZ;200005;12.1;180;963.2;27.8;5.6;15.4;91.6;71.0;153.2;35;1.4;56.42;70;0.1;0;0;-
LUZ;200006;14.0;228;967.0;30.7;8.2;18.4;115.6;68.1;224.3;51;1.3;92.44;51;3.8;0;0;-
LUZ;200007;14.3;184;961.9;29.4;6.1;16.5;245.4;77.1;156.1;35;1.4;57.13;68;2.2;0;0;-
LUZ;200008;16.6;190;965.5;31.3;11.2;19.2;184.1;76.4;230.1;57;1.2;69.78;47;6.5;0;0;-
LUZ;200009;13.8;153;962.9;25.7;5.8;15.3;116.8;80.4;191.3;55;1.3;37.14;52;2.2;0;0;-
LUZ;200010;11.1;58;963.1;17.3;1.8;10.3;80.2;88.2;50.9;17;1.0;7.62;88;-2.6;0;0;-
LUZ;200011;7.7;49;957.3;14.6;-2.8;5.5;72.2;85.5;66.4;29;1.1;7.17;70;-6.5;0;0;-
LUZ;200012;6.8;32;960.5;14.7;-5.3;3.6;23.3;85.2;38.3;19;1.1;3.10;83;-10.7;2;0;-
LUZ;200101;6.0;39;960.9;9.2;-5.4;1.7;87.9;85.0;58.5;26;1.1;2.02;79;-10.7;4;0;-
LUZ;200102;5.8;72;965.1;14.5;-7.8;3.5;29.3;73.5;87.5;35;1.5;6.43;74;-14.7;14;1;-
LUZ;200103;8.4;89;955.0;22.5;-4.6;7.5;171.5;80.9;63.4;19;1.7;11.75;85;-9.9;2;0;-
LUZ;200104;7.7;129;961.2;20.0;-1.2;7.3;167.9;76.5;79.8;21;1.5;24.89;79;-6.3;2;0;-
LUZ;200105;12.6;198;962.6;29.5;5.5;15.8;92.1;71.7;190.3;44;1.4;67.35;60;0.6;0;0;-
LUZ;200106;12.8;206;965.0;30.3;4.8;15.8;241.3;73.0;199.6;45;1.4;78.03;57;1.4;0;0;-
LUZ;200107;15.6;217;963.3;30.8;10.9;19.2;140.7;71.5;227.1;51;1.5;86.62;50;7.9;0;0;-
LUZ;200108;17.1;187;964.8;31.4;9.3;19.5;187.6;77.0;217.3;54;1.2;65.29;48;6.4;0;0;-
LUZ;200109;11.7;102;962.6;22.5;3.0;12.0;167.7;83.6;83.5;24;1.3;19.52;77;0.1;0;0;-
LUZ;200110;12.7;101;966.9;23.9;3.8;12.8;77.1;86.6;167.0;56;0.9;17.76;50;0.5;0;0;-
LUZ;200111;6.7;33;968.6;14.8;-5.1;3.5;75.5;84.2;29.4;13;1.2;5.14;88;-9.8;7;0;-
LUZ;200112;5.4;32;968.9;12.1;-12.1;0.6;33.1;78.7;40.2;20;1.5;4.13;87;-18.3;10;1;-
LUZ;200201;5.4;47;972.9;15.2;-9.4;0.6;9.1;83.6;77.9;35;1.2;2.54;76;-13.0;0;0;-
LUZ;200202;6.7;68;964.2;16.0;-5.3;5.5;97.8;75.2;75.1;30;2.0;5.24;78;-9.6;1;0;-
LUZ;200203;6.9;127;964.8;20.6;-3.6;7.3;47.8;69.0;154.1;45;1.7;30.02;59;-7.2;0;0;-
LUZ;200204;7.7;166;961.1;20.7;0.2;9.3;77.5;67.0;164.6;44;1.6;53.55;62;-5.4;0;0;-
LUZ;200205;11.0;176;961.7;29.1;4.2;13.3;149.6;74.3;151.9;35;1.2;55.57;66;1.0;0;0;-
LUZ;200206;15.6;232;963.8;33.7;7.2;19.4;235.4;70.5;238.6;54;1.4;93.03;50;4.0;0;0;-
LUZ;200207;15.6;202;962.9;29.8;8.9;18.6;189.8;74.1;193.3;44;1.4;72.09;60;5.6;0;0;-
LUZ;200208;16.2;162;962.7;28.7;10.8;17.8;161.7;80.5;155.1;38;1.2;45.44;62;7.8;0;0;-
LUZ;200209;12.9;109;964.8;24.5;2.8;13.1;163.3;84.6;98.9;28;1.2;21.00;74;-0.2;0;0;-
LUZ;200210;10.2;82;962.2;22.9;1.5;10.1;91.2;82.3;112.7;38;1.4;17.51;69;-3.8;0;0;-
LUZ;200211;8.6;37;958.2;15.9;-0.9;6.3;174.7;89.7;36.9;16;1.1;4.03;84;-4.8;0;0;-
LUZ;200212;7.3;20;962.8;14.5;-1.7;3.9;62.6;89.2;12.4;6;1.2;1.68;95;-4.7;1;0;-
LUZ;200301;5.3;34;963.2;16.7;-9.9;0.6;48.2;81.0;36.7;16;1.8;1.87;88;-17.5;13;0;-
LUZ;200302;4.3;71;966.4;12.2;-9.6;-1.3;30.7;77.4;72.8;29;1.5;5.59;77;-19.4;15;2;-
