stn;time;pva200m0;ets150m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;tre005mn;ure200mn
NEU;200001;5.6;2.36;38;968.2;9.9;-10.4;1.0;6;15.3;82.2;2;55.6;22;2.3;73;-12.0;-
NEU;200002;6.5;6.92;68;966.9;15.6;-2.2;4.3;5;112.2;77.2;0;96.2;35;2.7;68;-4.2;-
NEU;200003;6.4;33.26;123;963.6;18.3;-1.4;6.8;1;32.8;65.2;0;162.8;47;2.8;60;-3.9;-
NEU;200004;8.4;51.35;164;952.1;23.5;0.8;10.1;0;58.8;68.9;0;159.4;42;2.2;71;-1.8;-
NEU;200005;11.7;78.00;213;959.9;26.5;6.7;15.6;0;78.9;66.9;0;204.9;48;2.3;59;5.2;-
NEU;200006;13.4;120.14;254;963.7;30.4;9.9;18.7;0;45.6;63.0;0;262.7;61;2.1;50;7.0;-
NEU;200007;13.2;87.12;205;958.7;29.5;7.9;17.1;0;110.2;68.6;0;191.4;44;2.6;67;6.1;-
NEU;200008;15.5;97.35;199;962.5;30.5;12.1;19.9;0;87.5;68.7;0;249.0;61;1.6;48;10.1;-
NEU;200009;13.3;54.29;158;959.9;26.6;8.5;16.0;0;66.3;73.8;0;208.9;59;1.9;50;6.2;-
NEU;200010;10.6;17.08;75;959.9;18.0;3.2;11.1;0;105.1;80.2;0;80.8;26;2.2;80;-0.1;-
NEU;200011;7.9;8.81;43;953.7;12.7;0.7;6.4;0;124.5;81.9;0;60.7;23;2.6;77;-1.8;-
NEU;200012;7.1;3.64;26;956.9;13.8;-2.6;4.6;1;68.6;83.1;0;38.5;16;2.0;84;-4.6;-
NEU;200101;6.1;2.46;33;957.1;9.3;-3.7;2.5;0;135.2;82.0;0;46.2;18;2.3;81;-6.1;-
NEU;200102;5.9;7.91;72;961.5;14.6;-4.9;4.0;3;45.9;70.7;0;96.5;36;2.8;68;-7.9;-
NEU;200103;8.4;12.40;77;951.5;18.5;-1.1;7.6;9;244.9;80.5;0;58.1;17;3.2;88;-3.3;-
NEU;200104;7.4;37.54;136;957.7;18.5;-0.4;7.8;0;111.3;70.4;0;105.0;28;2.7;78;-4.1;-
NEU;200105;12.0;90.28;215;959.2;29.2;6.0;16.2;0;53.4;66.6;0;219.9;51;2.7;61;4.0;-
NEU;200106;12.2;108.71;228;961.5;28.8;5.1;16.3;0;117.1;66.3;0;239.8;55;2.3;55;3.2;-
NEU;200107;14.9;109.93;227;959.9;30.8;10.1;19.7;0;93.6;66.1;0;242.4;55;2.5;55;8.0;-
NEU;200108;15.9;96.45;205;961.6;31.8;11.3;20.2;0;99.6;67.8;0;253.2;62;2.2;48;8.6;-
NEU;200109;11.0;31.17;119;959.7;22.6;5.4;12.6;0;83.7;75.3;0;107.2;30;2.5;77;3.7;-
NEU;200110;13.0;18.03;95;963.8;24.3;7.8;13.5;0;80.2;84.2;0;135.6;43;1.5;61;5.6;-
NEU;200111;6.5;10.83;46;965.3;11.7;-1.5;3.9;2;66.8;78.8;0;61.3;24;3.0;78;-3.2;-
NEU;200112;5.3;6.80;35;965.5;10.6;-11.1;1.0;7;31.1;75.7;0;72.8;30;4.3;72;-12.4;-
NEU;200201;5.7;2.85;38;969.7;13.6;-7.1;1.2;3;35.1;83.0;0;60.1;24;2.1;79;-9.9;-
NEU;200202;7.0;5.46;62;961.4;14.5;-3.6;5.8;2;80.0;74.9;0;73.9;28;3.7;80;-5.8;-
NEU;200203;6.9;38.21;132;961.6;17.7;-0.2;7.4;3;64.2;67.2;0;179.1;51;2.6;59;-4.2;-
NEU;200204;7.2;69.01;177;957.4;21.3;0.8;10.0;0;16.9;59.4;0;184.9;48;2.8;62;-2.2;-
NEU;200205;10.4;69.95;182;958.4;26.1;4.0;13.0;0;140.2;71.3;0;171.5;40;1.8;70;1.1;-
NEU;200206;14.5;123.44;253;960.6;33.0;9.5;19.8;0;81.1;63.7;0;266.9;62;2.1;57;7.7;-
NEU;200207;14.5;103.16;214;959.8;30.4;10.3;19.0;0;86.4;67.0;0;224.7;51;2.4;60;8.4;-
NEU;200208;15.3;69.02;183;959.8;27.6;10.3;18.3;0;125.4;73.7;0;195.7;48;2.0;66;8.5;-
NEU;200209;12.4;42.02;137;961.6;22.8;4.1;14.2;0;57.8;75.6;0;155.1;44;2.3;67;2.7;-
