stn;time;tso010m0;tre005mn;pva200m0;ets150m0;nto000m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;ure200mn
OTL;200001;3.5;-10.9;4.5;8.37;32;70;977.8;18.2;-5.5;3.6;0;0.2;58.3;0;168.4;75;1.1;-
OTL;200002;5.9;-5.4;5.3;14.94;35;101;977.9;17.5;-0.2;6.6;0;16.9;55.7;0;178.2;69;1.0;-
OTL;200003;9.2;-2.9;5.9;50.97;41;149;973.0;26.4;2.1;10.1;0;87.4;50.2;0;223.9;67;1.4;-
OTL;200004;11.9;1.6;9.2;41.96;75;125;966.0;25.9;4.9;11.5;0;443.5;69.9;0;116.9;31;1.4;-
OTL;200005;18.8;6.3;13.6;61.89;63;195;972.2;26.6;11.1;17.1;0;212.3;71.0;0;186.2;46;1.4;-
OTL;200006;22.2;8.9;15.0;104.96;46;249;974.7;30.0;13.4;20.7;0;186.3;62.5;0;253.6;63;1.7;-
OTL;200007;21.6;6.9;14.2;107.50;51;228;968.8;28.5;10.0;20.0;0;295.2;61.3;0;232.7;57;1.7;-
OTL;200008;22.7;11.4;17.4;85.82;44;207;973.6;32.0;14.0;21.6;0;107.1;68.4;0;255.7;65;1.4;-
OTL;200009;19.8;7.2;14.0;66.77;48;164;971.0;26.6;11.5;18.2;0;214.6;67.7;0;224.8;65;1.4;-
OTL;200010;14.8;4.6;11.8;20.04;70;71;972.4;21.5;7.6;12.8;0;428.8;80.1;0;98.5;33;1.3;-
OTL;200011;8.8;-1.6;8.0;9.46;67;42;968.3;14.7;1.7;6.7;0;491.8;81.4;0;72.0;31;1.0;-
OTL;200012;6.5;-7.4;6.9;7.35;62;40;971.3;13.0;-2.4;5.2;16;138.6;75.9;1;89.4;42;0.9;-
OTL;200101;4.2;-8.4;5.6;4.09;67;46;971.6;11.7;-3.6;3.1;19;145.9;73.8;2;82.5;37;1.1;-
OTL;200102;5.8;-7.2;5.4;15.43;44;94;972.8;19.8;-1.7;6.6;27;110.7;56.7;0;166.1;67;1.5;-
OTL;200103;8.6;-5.0;8.0;27.84;71;112;964.6;20.7;-0.8;9.2;3;238.5;70.4;1;137.6;41;1.4;-
OTL;200104;12.2;-2.0;6.9;78.84;59;185;967.8;21.5;2.7;11.4;0;82.6;52.2;0;201.2;54;1.9;-
OTL;200105;17.7;6.9;13.1;76.03;60;207;971.2;31.2;10.6;17.4;0;122.1;68.5;0;209.1;51;1.4;-
OTL;200106;20.1;4.6;12.4;131.59;44;262;971.2;29.8;9.0;19.1;0;329.4;56.8;0;275.7;68;1.8;-
OTL;200107;22.0;9.0;16.4;96.23;52;231;970.8;30.4;13.1;21.2;0;233.4;66.0;0;232.3;56;1.6;-
OTL;200108;23.1;7.4;18.0;87.41;45;215;972.5;30.8;13.0;22.1;0;163.3;68.8;0;261.7;66;1.4;-
OTL;200109;17.9;3.3;10.8;72.70;54;156;969.5;26.1;7.6;15.2;0;150.4;64.0;0;201.1;58;1.5;-
OTL;200110;16.7;3.4;13.3;23.92;51;102;976.9;22.2;7.9;14.8;0;163.3;78.6;0;170.2;58;1.0;-
OTL;200111;10.7;-5.3;6.4;22.74;41;74;973.9;19.3;1.0;7.6;0;14.2;61.6;0;154.3;67;1.3;-
OTL;200112;5.3;-11.7;4.0;17.41;24;67;975.2;19.4;-4.9;2.7;0;0.1;53.2;0;178.3;84;1.2;-
OTL;200201;3.0;-10.8;4.2;9.88;31;70;981.2;11.6;-3.7;2.8;0;19.1;55.2;0;169.4;75;0.7;-
OTL;200202;5.6;-4.8;5.8;13.17;50;97;973.0;15.7;0.1;6.4;17;142.4;62.2;1;161.7;65;1.0;-
OTL;200203;9.4;-2.1;6.5;56.64;48;156;972.9;27.3;2.5;10.7;0;55.6;51.9;0;216.6;65;1.3;-
OTL;200204;12.9;1.7;7.9;73.43;65;181;968.8;25.2;4.5;12.5;0;64.2;57.8;0;190.8;51;1.6;-
OTL;200205;15.7;2.4;11.8;63.99;65;186;970.1;25.7;5.0;14.9;0;671.2;72.2;0;175.4;43;1.3;-
OTL;200206;21.9;7.8;17.0;90.96;48;249;972.0;31.6;11.1;21.2;0;159.6;67.9;0;253.3;63;1.4;-
OTL;200207;22.1;8.5;16.4;82.77;54;216;970.3;29.2;12.8;20.4;0;298.2;70.1;0;220.6;54;1.3;-
OTL;200208;22.1;9.0;17.0;70.23;53;201;970.0;28.5;11.9;20.0;0;174.2;73.8;0;225.9;57;1.2;-
OTL;200209;19.9;2.7;13.4;43.98;60;153;971.6;26.6;7.9;16.4;0;140.7;71.1;0;176.3;51;1.3;-
OTL;200210;15.6;1.1;10.2;36.95;51;108;970.8;25.1;5.2;13.0;0;88.2;68.5;0;173.9;59;1.2;-
OTL;200211;10.9;-1.0;8.8;15.41;73;47;967.5;18.5;3.4;9.2;0;790.0;75.8;0;80.0;35;1.2;-
OTL;200212;6.9;-4.0;6.8;5.68;71;40;972.1;13.8;-1.0;5.0;0;45.8;77.6;0;69.6;33;0.8;-
OTL;200301;4.6;-8.1;4.7;7.68;39;70;969.5;17.8;-4.0;3.8;19;39.5;59.6;2;156.7;70;1.1;-
OTL;200302;3.6;-10.5;3.9;15.86;27;111;975.1;12.3;-4.3;2.4;10;9.1;54.8;0;188.0;76;1.2;-
OTL;200303;8.6;-4.5;5.9;59.42;33;173;976.9;20.7;1.5;10.4;0;2.6;47.8;0;256.4;76;1.5;-
OTL;200304;12.6;-6.4;7.8;72.44;54;181;970.9;26.1;-0.4;12.1;0;69.1;56.0;0;198.0;53;1.6;-
OTL;200305;18.0;3.2;11.6;95.10;60;228;973.5;28.7;9.3;18.1;0;54.9;56.5;0;218.3;54;1.4;-
OTL;200306;24.1;12.7;16.8;131.08;42;277;971.8;34.8;16.6;24.8;0;29.1;55.6;0;294.7;73;1.5;-
OTL;200307;24.4;11.3;16.3;131.61;46;252;971.1;34.1;14.3;23.8;0;140.1;56.3;0;274.1;67;1.6;-
OTL;200308;24.4;12.2;16.9;132.46;36;228;972.4;37.9;16.1;25.3;0;173.2;54.0;0;298.1;76;1.4;-
OTL;200309;19.7;6.5;11.8;79.49;45;170;975.5;27.2;10.7;17.8;0;68.7;59.9;0;230.9;67;1.3;-
OTL;200310;14.6;-3.4;9.1;33.84;65;103;969.0;25.5;0.2;11.0;0;160.2;68.8;0;152.8;52;1.3;-
OTL;200311;9.4;0.5;8.4;10.32;68;50;974.7;15.6;1.4;7.3;0;200.8;82.3;0;86.3;38;0.8;-
