stn;time;pva200m0;prestam0;tre200m0;rre150m0;ets150m0;gre000m0;tre200mx;tre200mn;ure200mn;ure200m0;sremaxmv;fkl010m0;nto000m0;hns000m0;hto000m0;tre005mn;su2000m0
RAG;200001;4.8;966.7;-1.2;37.6;-;-;10.8;-16.3;39.0;83.1;-;2.3;57;21;8;-;-
RAG;200002;6.1;965.4;3.7;102.7;-;-;15.9;-6.0;28.0;79.2;-;3.2;61;37;2;-;-
RAG;200003;7.2;962.1;6.1;132.4;-;-;17.9;-0.5;30.0;78.4;-;2.8;66;8;0;-;-
RAG;200004;8.3;951.8;11.6;61.7;-;-;25.5;-1.5;28.0;64.1;-;4.5;60;0;0;-;-
RAG;200005;12.1;959.2;16.2;92.4;-;-;27.4;6.1;29.0;68.7;-;3.2;60;0;0;-;-
RAG;200006;14.3;962.8;18.9;48.6;-;-;31.5;8.5;26.0;68.1;-;3.3;46;0;0;-;-
RAG;200007;14.5;957.7;16.7;203.3;-;-;31.5;6.1;25.0;79.0;-;2.8;62;0;0;-;-
RAG;200008;16.8;961.8;19.9;164.5;-;-;33.1;11.2;27.0;75.4;-;2.8;44;0;0;-;-
RAG;200009;13.6;958.9;16.1;70.7;-;-;25.2;7.8;28.0;76.6;-;2.7;48;0;0;-;-
RAG;200010;11.0;958.8;11.6;57.4;-;-;21.8;2.8;27.0;82.0;-;2.8;68;0;0;-;-
RAG;200011;7.3;953.2;7.0;150.1;-;-;20.2;-1.1;31.0;75.7;-;4.2;57;0;0;-;-
RAG;200012;6.6;956.0;5.2;14.5;-;-;20.0;-6.5;25.0;76.5;-;3.1;65;3;0;-;-
RAG;200101;5.5;956.2;3.1;61.2;-;-;16.0;-6.1;22.0;73.6;-;4.0;66;18;2;-;-
RAG;200102;5.8;960.3;3.9;86.7;-;-;17.0;-5.2;27.0;74.0;-;3.9;61;16;1;-;-
RAG;200103;8.2;950.6;8.6;126.2;-;-;22.1;-1.0;28.0;77.5;-;3.6;78;4;0;-;-
RAG;200104;7.6;956.5;7.7;126.7;-;-;23.6;-0.6;28.0;77.3;-;3.9;75;6;0;-;-
RAG;200105;12.3;958.2;16.7;56.6;-;-;29.3;5.0;26.0;68.4;-;3.4;55;0;0;-;-
RAG;200106;13.1;960.5;15.7;200.1;-;-;30.7;5.4;29.0;75.5;-;2.8;56;0;0;-;-
RAG;200107;16.0;959.3;19.2;125.7;-;-;32.3;11.1;31.0;75.1;-;2.8;52;0;0;-;-
RAG;200108;17.5;960.9;20.1;153.0;-;-;34.1;10.2;32.0;76.5;-;2.4;45;0;0;-;-
RAG;200109;11.7;958.4;12.2;138.0;-;-;22.1;5.0;33.0;83.6;-;2.4;75;0;0;-;-
RAG;200110;12.1;963.0;14.6;43.9;-;-;27.5;5.5;31.0;74.9;-;2.3;35;0;0;-;-
RAG;200111;6.4;963.7;2.6;71.7;-;-;12.5;-4.2;48.0;86.0;-;2.2;70;13;1;-;-
RAG;200112;4.9;963.8;-1.3;50.9;-;-;11.2;-15.0;52.0;81.2;-;2.5;64;25;2;-;-
RAG;200201;4.8;968.4;-0.1;20.5;-;-;15.9;-12.0;36.0;76.6;-;1.9;44;0;1;-;-
RAG;200202;6.7;959.2;5.7;69.3;-;-;20.0;-4.5;26.0;75.3;-;3.2;74;21;1;-;-
RAG;200203;7.3;960.2;8.4;105.6;-;-;21.2;-3.2;26.0;70.0;-;3.5;51;3;0;-;-
RAG;200204;8.5;956.2;10.0;44.3;-;-;23.4;0.0;32.0;72.1;-;3.3;60;0;0;-;-
RAG;200205;11.4;956.6;14.7;142.2;-;-;29.6;5.0;29.0;70.9;-;3.3;59;0;0;-;-
RAG;200206;16.4;959.2;19.9;91.1;-;-;33.2;9.8;35.0;71.1;-;3.0;50;0;0;-;-
RAG;200207;16.0;958.4;19.0;118.0;-;-;29.5;9.6;34.0;72.7;-;2.6;56;0;0;-;-
RAG;200208;16.2;958.1;18.4;162.7;-;-;27.3;11.0;50.0;78.0;-;2.5;60;0;0;-;-
RAG;200209;12.6;960.3;13.9;112.1;-;-;25.0;1.2;44.0;79.0;-;2.9;61;0;0;-;-
RAG;200210;9.8;957.7;11.4;86.9;-;-;23.6;1.3;32.0;73.8;-;2.8;59;0;0;-;-
RAG;200211;8.6;953.9;7.6;259.0;-;-;16.9;0.0;41.0;83.2;-;3.1;78;0;0;-;-
RAG;200212;6.5;958.3;3.9;79.8;-;-;15.0;-5.0;40.0;80.9;-;2.3;75;0;0;-;-
RAG;200301;5.1;958.3;0.0;71.8;-;-;13.7;-11.3;42.0;80.7;-;2.3;70;50;4;-;-
RAG;200302;3.9;961.6;-2.5;51.8;-;-;13.9;-13.8;24.0;77.1;-;2.5;44;83;27;-;-
RAG;200303;6.9;964.3;8.2;24.9;-;-;20.2;-3.2;34.0;66.0;-;3.0;36;0;0;-;-
RAG;200304;8.7;957.4;10.5;30.2;-;-;26.4;-4.2;33.0;69.0;-;4.4;54;0;0;-;-
RAG;200305;13.4;960.5;16.0;59.3;-;-;31.0;4.2;29.0;76.0;-;3.1;63;0;0;-;-
RAG;200306;19.2;959.2;22.8;50.5;-;-;34.8;14.4;31.0;70.7;-;2.7;48;0;0;-;-
RAG;200307;17.5;959.9;20.1;101.6;-;-;35.1;11.0;33.0;75.7;-;2.9;50;0;0;-;-
RAG;200308;19.3;960.7;22.9;66.9;-;-;36.8;12.1;35.0;70.1;-;2.6;38;0;0;-;-
RAG;200309;12.8;962.7;15.6;20.9;-;-;29.0;6.1;33.0;74.4;-;2.6;43;0;0;-;-
RAG;200310;8.3;955.5;7.6;186.0;-;-;23.8;-5.0;35.0;77.3;-;2.8;59;0;0;-;-
RAG;200311;8.2;959.3;7.5;32.3;-;-;19.9;-4.2;35.0;76.4;-;3.0;52;0;0;-;-
RAG;200312;5.5;960.3;3.0;42.4;-;-;20.0;-11.2;31.0;73.4;-;3.3;57;40;4;-;-
RAG;200401;5.3;954.3;0.8;107.5;-;-;10.4;-7.0;32.0;80.3;-;2.9;78;48;6;-;-
RAG;200402;5.4;961.1;1.9;24.4;-;-;17.0;-6.2;38.0;77.2;-;2.3;55;44;4;-;-
RAG;200403;6.4;961.6;5.5;40.9;-;-;22.7;-6.5;25.0;72.7;-;3.5;55;8;0;-;-
RAG;200404;8.4;954.7;10.5;43.5;-;-;23.1;0.0;33.0;69.4;-;3.2;59;0;0;-;-
RAG;200405;10.3;956.5;12.7;61.3;-;-;27.0;3.4;32.0;72.0;-;2.4;60;0;0;-;-
RAG;200406;14.1;960.7;16.9;136.3;-;-;30.0;8.8;42.0;74.3;-;2.9;62;0;0;-;-
RAG;200407;15.6;960.1;19.0;75.3;-;-;30.5;10.0;33.0;71.4;-;3.3;55;0;0;-;-
RAG;200408;16.9;957.8;19.4;126.0;-;-;31.5;10.0;34.0;76.0;-;2.9;56;0;0;-;-
RAG;200409;13.8;963.1;15.7;67.7;-;-;26.8;6.0;45.0;77.6;-;3.0;48;0;0;-;-
RAG;200410;11.4;956.0;13.3;75.0;-;-;26.2;3.1;39.0;74.8;-;3.6;55;0;0;-;-
RAG;200411;6.8;962.3;4.0;28.3;-;-;15.5;-4.6;51.0;80.9;-;2.3;69;8;0;-;-
RAG;200412;5.0;961.2;-0.2;29.6;-;-;11.9;-10.5;34.0;81.8;-;2.6;63;9;2;-;-
RAG;200501;4.7;965.0;-0.6;64.4;-;-;12.0;-17.2;37.0;77.1;-;2.6;50;41;5;-;-
RAG;200502;4.5;958.4;-1.5;63.0;-;-;7.8;-11.2;56.0;80.3;-;3.0;62;72;29;-;-
RAG;200503;6.9;958.4;5.7;29.4;-;-;20.9;-13.0;34.0;71.7;-;2.6;53;28;8;-;-
RAG;200504;8.0;956.2;10.6;54.9;-;-;26.1;0.2;24.0;66.6;-;3.8;61;0;0;-;-
RAG;200505;11.8;959.4;14.7;69.3;-;-;31.5;3.2;31.0;73.1;-;3.2;58;0;0;-;-
RAG;200506;14.7;961.1;18.7;64.5;-;-;32.7;4.0;38.0;66.7;-;3.3;47;0;0;-;-
RAG;200507;15.8;959.4;18.6;72.7;-;-;35.1;8.1;35.0;75.1;-;2.7;60;0;0;-;-
RAG;200508;14.7;960.0;16.8;151.0;-;-;27.2;8.0;41.0;77.3;-;2.5;61;0;0;-;-
RAG;200509;13.6;960.9;16.7;17.1;-;-;28.5;6.0;35.0;72.6;-;2.7;49;0;0;-;-
RAG;200510;9.6;962.1;12.1;26.4;-;-;24.7;2.1;31.0;70.0;-;2.2;30;0;0;-;-
RAG;200511;6.8;959.8;4.3;9.7;-;-;19.8;-6.5;46.0;78.1;-;2.3;62;7;0;-;-
RAG;200512;4.5;959.6;-1.2;73.7;-;-;11.1;-12.2;29.0;78.1;-;2.7;68;69;14;-;-
RAG;200601;4.0;964.1;-3.1;33.8;-;-;11.1;-16.4;36.0;78.8;-;2.3;51;7;14;-;-
RAG;200602;4.9;955.9;0.6;28.5;-;-;11.0;-7.5;37.0;77.2;-;2.8;71;22;2;-;-
RAG;200603;5.9;953.9;3.4;76.2;-;-;22.0;-10.0;38.0;74.2;-;3.5;67;49;4;-;-
RAG;200604;8.6;956.9;9.9;74.6;-;-;25.2;-1.2;30.0;73.4;-;3.5;64;2;0;-;-
RAG;200605;11.4;959.4;14.4;96.9;-;-;25.3;3.3;30.0;71.4;-;3.0;63;0;0;-;-
RAG;200606;14.5;962.4;18.3;57.4;-;-;31.8;3.8;31.0;69.1;-;3.0;46;0;0;-;-
RAG;200607;18.1;961.7;23.0;56.8;-;-;33.0;14.0;28.0;66.5;-;2.8;35;0;0;-;-
RAG;200608;13.9;957.0;15.3;125.3;-;-;26.9;7.8;40.0;80.5;-;2.1;75;0;0;-;-
RAG;200609;14.6;959.2;18.0;84.4;-;-;27.5;7.5;33.0;72.0;-;2.6;46;0;0;-;-
RAG;200610;11.2;958.8;14.5;42.5;-;-;27.6;5.0;31.0;70.3;-;2.5;40;0;0;-;-
RAG;200611;7.5;962.6;8.7;42.2;-;-;22.2;-1.0;30.0;68.5;-;3.2;50;0;0;-;-
RAG;200612;5.6;967.2;2.6;59.4;-;-;21.2;-6.2;10.0;75.8;-;2.6;49;0;0;-;-
RAG;200701;6.3;963.5;3.7;63.2;-;-;16.0;-5.3;41.0;79.3;-;2.8;63;23;2;-;-
RAG;200702;6.2;955.3;5.4;31.9;-;-;14.8;-2.2;30.0;71.8;-;2.9;58;0;0;-;-
RAG;200703;6.9;957.2;6.7;49.3;-;-;17.1;-2.5;31.0;74.3;-;3.4;54;28;1;-;-
RAG;200704;10.4;960.1;14.8;15.1;-;-;26.9;2.3;30.0;64.6;-;3.5;28;0;0;-;-
RAG;200705;12.1;954.8;15.7;81.8;-;-;28.5;6.0;30.0;70.4;-;3.9;60;0;0;-;-
RAG;200706;15.8;956.5;18.1;72.5;-;-;30.3;9.5;31.0;77.5;-;3.0;61;0;0;-;-
RAG;200707;15.4;958.8;19.0;104.5;-;-;34.8;9.0;25.0;73.0;-;3.6;51;0;0;-;-
RAG;200708;16.0;958.4;17.9;116.3;-;-;31.5;9.5;42.0;78.4;-;2.6;64;0;0;-;-
RAG;200709;11.8;962.0;13.8;74.4;-;-;25.5;5.5;38.0;75.8;-;2.6;53;0;0;-;-
RAG;200710;9.7;963.9;10.1;14.8;-;-;25.5;-2.0;40.0;77.4;-;2.4;49;0;0;-;-
RAG;200711;6.3;961.2;3.7;85.8;-;-;17.0;-9.0;38.0;77.7;-;3.1;61;21;2;-;-
RAG;200712;5.4;965.1;0.1;65.6;-;-;11.0;-9.2;34.0;84.1;-;2.0;66;4;0;-;-
RAG;200801;5.6;962.8;3.9;58.0;-;-;15.2;-8.0;33.0;69.4;-;3.3;54;2;0;-;-
RAG;200802;5.9;967.8;4.4;18.2;-;-;22.0;-5.0;30.0;71.1;-;2.1;37;0;0;-;-
RAG;200803;6.4;951.5;4.7;110.5;-;-;19.0;-8.0;26.0;75.3;-;3.2;72;40;2;-;-
RAG;200804;8.4;953.3;9.3;98.0;-;-;24.5;-1.0;31.0;73.5;-;2.9;73;0;0;-;-
RAG;200805;11.3;956.2;17.0;26.6;-;-;31.3;5.0;25.0;61.9;-;2.5;54;0;0;-;-
RAG;200806;15.6;958.7;18.4;74.3;-;-;31.8;8.5;27.0;75.8;-;3.3;61;0;0;-;-
RAG;200807;15.8;959.3;18.8;96.7;-;-;31.0;9.2;36.0;74.0;-;3.5;57;0;0;-;-
RAG;200808;16.1;958.5;18.8;102.4;-;-;30.5;9.0;41.0;76.4;-;3.3;49;0;0;-;-
RAG;200809;12.1;959.7;13.8;73.0;-;-;27.7;3.0;34.0;76.8;-;3.6;58;0;0;-;-
RAG;200810;10.3;960.6;11.3;70.3;-;-;21.8;1.0;34.0;77.9;-;2.7;52;4;0;-;-
RAG;200811;6.9;957.3;6.3;70.2;-;-;21.0;-5.3;32.0;73.7;-;4.3;60;39;4;-;-
RAG;200812;5.5;959.4;1.3;85.7;-;-;10.8;-8.0;38.0;80.8;-;3.0;62;18;1;-;-
RAG;200901;4.2;956.2;-1.7;29.3;-;-;11.8;-10.0;41.0;78.0;-;2.7;52;1;1;-;-
RAG;200902;5.2;955.8;1.6;68.3;-;-;15.0;-12.0;32.0;75.8;-;3.9;69;89;14;-;-
RAG;200903;6.2;957.2;4.8;87.6;-;-;16.6;-5.0;28.0;74.7;-;3.9;68;12;1;-;-
RAG;200904;9.0;955.5;12.9;21.6;-;-;22.2;2.5;30.0;64.1;-;4.5;49;0;0;-;-
RAG;200905;11.9;961.1;16.8;24.4;-;-;32.0;4.0;30.0;65.8;-;3.9;53;0;0;-;-
RAG;200906;14.0;958.5;17.0;71.7;-;-;30.0;8.0;37.0;73.4;-;3.5;63;0;0;-;-
RAG;200907;16.1;959.7;19.4;128.7;-;-;32.7;9.0;33.0;72.2;-;3.4;56;0;0;-;-
RAG;200908;17.1;960.9;20.7;74.9;-;-;32.2;8.7;41.0;71.7;-;3.3;41;0;0;-;-
RAG;200909;14.1;961.7;16.5;28.8;-;-;32.0;7.5;35.0;76.1;-;3.1;43;0;0;-;-
RAG;200910;9.7;960.2;10.8;42.0;-;-;25.5;0.0;37.0;74.0;-;3.0;57;0;0;-;-
RAG;200911;7.7;955.0;8.3;83.9;-;-;19.0;0.0;31.0;72.7;-;3.2;58;12;0;-;-
RAG;200912;5.2;951.4;1.7;41.5;-;-;16.3;-13.2;37.0;72.1;-;4.1;74;4;1;-;-
RAG;201001;4.2;954.9;-1.5;26.1;-;-;7.5;-8.0;44.0;76.6;-;2.5;60;63;6;-;-
RAG;201002;4.7;948.0;1.9;13.7;-;-;15.6;-10.8;22.0;67.3;-;4.8;61;6;5;-;-
RAG;201003;6.0;958.7;5.4;52.0;-;-;21.0;-10.0;28.0;67.7;-;4.0;62;22;1;-;-
RAG;201004;8.5;959.7;10.6;24.9;-;-;26.0;-1.5;28.0;67.2;-;3.9;53;0;0;-;-
RAG;201005;10.8;955.7;12.5;108.8;-;-;27.2;3.0;32.0;77.2;-;3.4;79;0;0;-;-
RAG;201006;13.8;957.4;17.7;60.6;-;-;30.0;7.0;31.0;70.2;-;3.9;59;0;0;-;-
RAG;201007;17.0;960.4;20.9;194.4;-;-;33.5;10.0;35.0;70.9;-;2.8;46;0;0;-;-
RAG;201008;16.0;958.9;17.7;225.2;-;-;29.0;9.0;48.0;79.6;-;2.8;66;0;0;-;-
RAG;201009;12.1;958.7;14.3;84.9;-;-;23.6;6.0;37.0;75.0;-;3.3;57;0;0;-;-
RAG;201010;9.2;957.1;10.7;59.6;-;-;24.5;0.5;28.0;71.7;-;4.2;53;0;0;-;-
RAG;201011;7.3;950.4;6.4;72.8;-;-;21.0;-5.0;34.0;75.5;-;4.0;65;5;0;-;-
RAG;201012;4.7;953.8;0.7;48.5;-;-;18.3;-8.6;24.0;72.5;-;5.0;71;48;5;-;-
