stn;time;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;ure200mn
SAE;200001;2.2;69;750.2;0.1;-18.6;-7.9;168;259.3;65.6;351;145.7;53;6.7;51;-
SAE;200002;2.6;87;750.5;1.6;-17.0;-7.0;354;472.4;76.9;487;78.4;27;7.6;75;-
SAE;200003;3.1;149;748.6;0.3;-17.0;-6.4;260;402.8;79.2;681;111.3;31;6.9;76;-
SAE;200004;3.6;215;743.8;9.2;-10.8;-2.2;55;113.3;72.5;732;157.2;40;4.9;67;-
SAE;200005;6.2;230;752.7;10.3;-6.4;2.4;32;252.9;84.8;494;156.2;34;4.0;75;-
SAE;200006;7.1;266;757.8;14.8;-3.5;5.7;9;146.1;78.3;271;199.2;42;3.3;65;-
SAE;200007;7.0;200;752.1;14.4;-4.7;3.1;70;510.8;91.2;122;105.5;22;4.8;84;-
SAE;200008;8.0;201;758.0;17.1;0.7;7.5;0;246.9;79.2;20;195.7;47;3.7;62;-
SAE;200009;6.3;150;753.3;13.4;-3.2;4.4;43;209.4;76.6;4;169.7;47;5.3;66;-
SAE;200010;5.1;91;750.7;9.5;-7.9;0.9;35;151.9;78.9;4;114.0;34;5.5;78;-
SAE;200011;3.4;65;743.1;8.9;-11.5;-3.9;106;156.1;75.6;38;99.8;36;5.8;69;-
SAE;200012;3.0;48;745.0;5.4;-16.0;-4.2;119;136.9;67.5;64;101.4;39;6.5;70;-
SAE;200101;2.6;60;743.3;2.2;-16.5;-6.9;97;103.7;69.5;138;110.6;40;5.8;68;-
SAE;200102;2.5;97;746.5;3.9;-19.9;-7.2;157;338.9;69.5;242;121.7;43;6.0;69;-
SAE;200103;4.0;113;740.9;6.9;-14.1;-4.0;171;601.1;86.2;342;60.6;17;7.5;90;-
SAE;200104;3.3;185;744.9;5.6;-16.6;-5.4;206;373.4;81.4;467;84.6;22;5.5;86;-
SAE;200105;6.3;256;752.7;10.8;-6.2;3.0;6;65.2;83.0;375;209.4;45;3.9;68;-
SAE;200106;6.1;209;753.8;14.8;-7.5;2.3;99;413.9;83.4;257;169.9;36;4.9;73;-
SAE;200107;8.0;208;755.4;15.4;-1.3;6.3;3;179.6;84.7;48;173.9;36;3.6;74;-
SAE;200108;8.1;215;757.5;18.1;-1.7;7.9;5;242.5;77.2;0;198.5;47;3.4;60;-
SAE;200109;5.4;115;749.7;8.1;-6.8;-0.5;164;448.9;91.3;48;52.2;14;4.9;88;-
SAE;200110;5.7;126;756.3;13.6;-5.1;4.2;28;127.4;71.4;4;189.6;57;5.4;60;-
SAE;200111;3.1;76;749.8;6.7;-15.1;-4.2;221;363.1;70.0;41;141.7;51;6.0;62;-
SAE;200112;2.4;53;746.9;2.3;-26.0;-8.9;214;295.4;68.1;187;107.8;42;8.2;61;-
SAE;200201;2.1;73;753.0;5.3;-17.4;-4.8;41;78.6;49.5;286;160.0;58;7.4;49;-
SAE;200202;3.4;72;746.5;5.3;-16.9;-5.3;223;362.5;82.5;303;54.6;19;8.5;85;-
SAE;200203;3.0;165;748.7;3.4;-15.8;-4.1;97;226.1;65.9;360;194.1;54;5.3;59;-
SAE;200204;3.7;212;746.5;4.0;-11.7;-3.9;87;174.2;79.5;375;140.9;36;3.9;72;-
SAE;200205;5.4;251;750.2;10.4;-8.1;0.9;50;109.2;83.6;375;146.9;32;4.1;75;-
SAE;200206;7.9;266;756.0;18.4;-3.3;6.5;9;238.3;81.8;149;188.1;40;4.1;69;-
SAE;200207;8.0;213;754.6;14.4;-2.3;5.8;4;304.7;87.2;2;152.9;32;3.7;73;-
SAE;200208;7.7;181;754.4;14.3;0.5;5.7;0;494.7;84.9;0;138.2;33;2.7;74;-
SAE;200209;5.6;158;752.9;11.6;-9.3;1.7;58;217.2;78.3;11;147.8;41;3.6;70;-
SAE;200210;4.6;95;749.4;8.6;-8.2;0.0;107;322.1;75.8;59;112.4;34;6.2;80;-
SAE;200211;4.2;56;744.1;5.4;-12.0;-3.2;184;442.1;85.2;115;66.9;24;6.1;78;-
SAE;200212;3.3;45;746.1;2.7;-10.6;-4.6;116;265.1;75.6;178;89.6;34;5.8;65;-
SAE;200301;2.3;59;743.0;1.2;-21.3;-9.0;188;284.8;71.0;291;118.6;43;6.5;67;-
SAE;200302;1.4;126;745.3;0.1;-20.2;-9.2;168;87.8;46.1;494;208.8;73;5.4;38;-
SAE;200303;2.8;180;752.5;2.4;-13.2;-4.4;22;83.4;61.1;391;236.6;65;5.0;52;-
SAE;200304;3.6;215;747.6;7.1;-18.0;-3.6;117;182.2;76.1;383;181.4;47;4.5;68;-
SAE;200305;5.8;234;754.2;12.5;-8.6;2.6;56;250.0;79.5;296;172.1;37;3.5;76;-
SAE;200306;9.0;266;757.9;17.2;2.3;9.2;0;149.6;78.2;91;219.4;46;2.3;68;-
