stn;time;tso010m0;pva200m0;nto000m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;ets150m0;tre005mn;ure200mn
SAM;200001;0.1;2.3;32;79;830.5;8.7;-30.0;-11.0;19;15.4;78.1;36;151.2;74;1.2;5.41;-20.7;-
SAM;200002;0.1;3.2;48;108;830.8;8.1;-22.8;-5.6;35;9.0;76.1;34;112.2;52;1.6;4.41;-24.8;-
SAM;200003;0.1;3.9;59;161;827.9;10.5;-17.7;-1.3;20;24.9;69.1;21;119.0;44;2.4;5.99;-19.1;-
SAM;200004;2.7;5.4;72;187;822.3;16.3;-12.1;2.4;35;64.0;74.8;4;97.1;33;2.4;5.86;-14.5;-
SAM;200005;10.8;7.7;69;230;830.1;20.0;-5.4;8.1;0;58.2;72.9;0;152.5;44;2.7;18.96;-10.5;-
SAM;200006;13.9;8.8;54;268;834.2;22.5;-3.3;11.1;0;42.1;69.0;0;205.8;57;2.7;89.93;-7.0;-
SAM;200007;13.6;8.5;65;255;828.7;23.4;-3.5;10.2;0;155.1;69.8;0;188.3;53;3.0;111.77;-7.2;-
SAM;200008;14.5;9.8;57;214;834.0;24.0;-0.2;11.8;0;143.2;74.2;0;200.7;63;2.4;101.08;-6.6;-
SAM;200009;11.0;7.8;56;172;830.1;23.6;-4.6;8.0;0;59.4;74.6;0;169.0;62;2.2;61.74;-9.3;-
SAM;200010;7.2;6.8;74;86;829.0;16.0;-6.2;4.7;14;161.2;79.8;0;83.1;34;2.2;15.36;-10.3;-
SAM;200011;2.1;4.4;70;63;822.8;3.7;-21.2;-3.5;130;209.7;88.2;33;69.2;34;1.2;4.73;-24.9;-
SAM;200012;1.0;3.7;63;56;824.9;5.9;-26.9;-5.8;43;30.9;85.4;39;88.6;45;1.4;4.31;-28.7;-
SAM;200101;0.4;3.2;67;68;823.7;3.5;-28.9;-8.0;129;76.5;85.1;63;87.5;43;1.5;2.95;-32.3;-
SAM;200102;0.4;3.2;55;115;826.6;6.4;-28.6;-6.3;93;31.4;77.0;86;115.3;55;1.9;4.23;-29.5;-
SAM;200103;0.4;4.8;75;151;820.0;9.4;-25.5;-0.1;68;74.3;77.8;75;86.2;32;2.5;3.72;-24.4;-
SAM;200104;1.1;4.2;73;215;823.6;10.9;-14.9;-0.1;54;35.4;70.0;33;96.1;33;2.4;6.47;-17.0;-
SAM;200105;10.2;7.3;62;249;829.7;22.1;-5.5;8.2;0;25.5;69.8;1;179.8;52;2.2;28.08;-9.3;-
SAM;200106;12.5;7.4;60;263;830.7;23.3;-6.8;8.7;6;177.1;68.2;0;198.6;55;2.4;98.62;-10.7;-
SAM;200107;15.2;10.0;66;244;831.3;25.0;-0.3;12.1;0;87.8;73.3;0;196.1;55;2.4;105.95;-5.4;-
SAM;200108;15.3;10.3;57;225;833.3;24.4;-2.4;12.5;0;129.1;73.4;0;211.0;66;2.3;106.42;-5.4;-
SAM;200109;9.6;6.7;74;141;827.4;15.7;-5.0;5.2;4;68.0;76.4;0;103.4;38;2.2;43.82;-8.6;-
SAM;200110;7.5;6.8;47;125;834.1;20.9;-7.3;5.6;0;67.2;76.7;0;173.7;71;2.0;28.88;-10.6;-
SAM;200111;1.2;3.8;46;78;828.7;14.6;-17.5;-2.5;25;16.4;74.9;3;121.6;59;1.8;13.30;-22.8;-
SAM;200112;-2.7;2.7;48;63;827.3;5.7;-25.3;-8.4;13;3.9;74.9;1;120.4;61;1.8;8.02;-28.3;-
SAM;200201;-6.2;2.5;29;77;833.3;11.1;-23.5;-7.9;3;2.1;71.7;1;155.4;76;1.3;7.36;-26.1;-
