stn;time;pva200m0;tre200mx;tre200mn;tre200m0;rre150m0;ure200mn;ure200m0;ets150m0;gre000m0;prestam0;su2000m0;sremaxmv;fkl010m0;nto000m0;tre005mn;hns000m0;hto000m0
SIA;200001;2.5;3.0;-24.0;-8.4;20.4;26.0;71.2;-;-;-;-;-;2.4;25;-;27;57
SIA;200002;2.9;8.0;-17.0;-5.1;29.0;27.0;66.4;-;-;-;-;-;2.7;39;-;14;67
SIA;200003;3.5;9.2;-15.5;-1.8;58.4;26.0;65.7;-;-;-;-;-;3.3;51;-;49;59
SIA;200004;5.0;13.5;-11.8;1.1;140.4;22.0;78.4;-;-;-;-;-;3.2;65;-;77;53
SIA;200005;7.2;15.8;-3.0;6.7;109.5;29.0;77.0;-;-;-;-;-;3.5;57;-;3;0
SIA;200006;8.5;19.0;0.0;10.2;77.2;24.0;71.3;-;-;-;-;-;3.7;45;-;0;0
SIA;200007;8.1;19.4;0.0;9.4;190.2;22.0;70.1;-;-;-;-;-;4.0;52;-;0;0
SIA;200008;9.4;22.2;3.0;11.5;163.3;19.0;73.3;-;-;-;-;-;3.0;44;-;0;0
SIA;200009;7.7;20.5;-1.0;8.2;94.4;28.0;72.8;-;-;-;-;-;3.1;42;-;0;0
SIA;200010;6.5;15.6;-2.5;4.1;250.9;34.0;78.6;-;-;-;-;-;3.2;65;-;21;0
SIA;200011;4.6;6.0;-12.0;-2.6;391.0;57.0;85.9;-;-;-;-;-;2.1;65;-;147;58
SIA;200012;3.8;3.0;-17.4;-4.4;82.3;27.0;80.1;-;-;-;-;-;1.8;55;-;37;78
SIA;200101;3.2;2.0;-24.8;-7.4;156.2;45.0;80.8;-;-;-;-;-;2.6;56;-;121;126
SIA;200102;3.1;5.5;-24.5;-5.9;61.8;23.0;70.4;-;-;-;-;-;3.4;44;-;106;168
SIA;200103;4.4;9.0;-18.5;-1.0;115.4;32.0;77.3;-;-;-;-;-;3.3;66;-;143;159
SIA;200104;3.9;8.5;-14.5;-0.9;67.5;28.0;69.2;-;-;-;-;-;3.7;65;-;78;109
SIA;200105;6.9;21.2;-1.5;7.5;42.2;23.0;70.5;-;-;-;-;-;3.0;54;-;0;17
SIA;200106;7.0;20.5;-3.0;8.2;208.0;24.0;66.1;-;-;-;-;-;3.9;50;-;1;0
SIA;200107;9.3;22.0;2.5;11.5;105.4;25.0;71.2;-;-;-;-;-;3.5;51;-;0;0
SIA;200108;9.7;22.6;2.0;12.5;188.8;22.0;70.0;-;-;-;-;-;3.5;48;-;0;0
SIA;200109;6.4;15.8;-2.0;4.8;86.6;30.0;74.1;-;-;-;-;-;-;66;-;4;0
SIA;200110;7.4;18.5;-5.0;6.2;82.3;21.0;77.8;-;-;-;-;-;-;39;-;0;0
SIA;200111;4.2;12.8;-11.8;-0.8;26.1;24.0;71.3;-;-;-;-;-;-;40;-;14;1
SIA;200112;2.9;6.0;-20.0;-6.2;4.5;34.0;69.2;-;-;-;-;-;-;29;-;1;0
SIA;200201;2.9;12.0;-19.0;-5.4;6.9;21.0;66.9;-;-;-;-;-;-;26;-;5;1
SIA;200202;3.7;10.5;-18.0;-3.1;44.5;22.0;73.8;-;-;-;-;-;-;55;-;70;19
SIA;200203;4.0;9.9;-15.0;-1.5;74.1;26.0;74.1;-;-;-;-;-;-;56;-;110;26
