stn;time;tso010m0;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;ets150m0;nto000m0;tre005mn;ure200mn
SIO;200001;0.3;4.4;57;968.3;8.7;-10.3;-2.2;1;19.9;82.4;5;102.0;62;1.4;3.21;41;-10.3;-
SIO;200002;1.0;5.9;87;967.3;17.1;-4.1;3.5;7;56.5;76.3;0;113.7;49;1.5;8.44;58;-8.8;-
SIO;200003;7.0;6.4;153;962.7;19.5;-2.4;7.1;0;21.8;65.5;0;188.7;60;2.3;36.78;53;-7.4;-
SIO;200004;10.9;7.8;191;952.1;26.1;0.4;11.2;0;35.4;61.1;0;176.5;50;2.9;62.86;63;-4.5;-
SIO;200005;17.0;11.3;241;959.3;28.4;5.2;16.8;0;13.1;61.2;0;224.3;55;2.7;94.96;58;-0.8;-
SIO;200006;19.0;13.5;284;962.5;30.9;8.3;20.0;0;24.5;60.2;0;281.6;68;3.0;132.04;43;1.9;-
SIO;200007;19.0;13.5;236;957.7;34.2;6.9;17.8;0;89.8;67.9;0;213.6;51;2.6;97.11;62;0.8;-
SIO;200008;20.0;14.8;215;961.6;34.0;10.0;19.8;0;34.0;67.2;0;240.9;63;2.0;98.18;46;6.1;-
SIO;200009;16.7;12.2;188;958.8;27.8;5.9;16.2;0;37.5;68.1;0;241.4;75;2.3;70.32;42;0.4;-
SIO;200010;11.9;10.0;98;959.7;21.0;0.6;10.2;0;115.5;81.1;0;120.5;45;1.6;20.48;62;-4.0;-
SIO;200011;7.0;7.1;56;954.7;16.4;-2.4;5.5;1;57.2;79.1;0;65.0;35;1.5;9.69;70;-7.0;-
SIO;200012;3.6;6.2;41;957.5;16.6;-6.8;3.4;0;10.6;78.0;0;52.5;41;1.6;5.06;56;-11.7;-
SIO;200101;1.7;5.6;51;957.6;10.5;-6.3;1.9;2;89.6;79.2;0;75.7;46;1.6;3.23;67;-10.4;-
SIO;200102;3.0;5.2;100;961.4;16.6;-7.3;3.7;10;19.8;66.1;0;126.2;57;2.2;10.32;52;-11.7;-
SIO;200103;7.7;7.9;117;952.0;22.4;-1.4;8.6;16;152.1;72.7;1;92.1;29;2.0;20.92;84;-6.0;-
SIO;200104;10.2;7.3;193;957.0;22.6;-0.2;8.6;0;60.1;66.5;0;164.5;46;2.8;56.17;69;-5.7;-
SIO;200105;17.0;12.0;254;958.1;31.4;4.7;16.9;0;23.5;64.3;0;238.0;58;2.6;93.73;60;-0.5;-
SIO;200106;18.7;12.6;274;960.7;30.4;2.6;17.0;0;101.2;66.6;0;267.3;64;2.4;116.50;49;-1.9;-
SIO;200107;20.7;15.1;258;959.0;31.9;7.8;19.9;0;59.9;66.6;0;252.6;60;2.3;109.37;54;3.4;-
SIO;200108;21.1;16.0;225;960.8;32.4;9.3;20.1;0;59.9;69.9;0;257.5;67;2.1;93.69;47;5.2;-
SIO;200109;15.6;10.7;167;958.7;23.4;3.3;12.8;0;39.9;73.8;0;173.8;54;2.2;48.27;65;-1.1;-
SIO;200110;13.5;11.0;128;963.4;25.8;2.8;13.1;0;8.8;74.4;0;205.0;76;1.7;34.81;37;-2.8;-
SIO;200111;5.7;6.1;62;964.1;14.6;-6.2;3.0;0;17.8;80.1;0;88.9;48;1.4;10.50;55;-10.8;-
SIO;200112;1.9;4.6;42;964.7;12.1;-12.2;-1.7;5;17.3;77.1;0;76.9;61;1.5;6.39;48;-17.9;-
SIO;200201;-0.6;4.5;61;969.8;15.3;-11.1;-1.1;0;14.2;77.8;0;119.8;73;1.5;4.26;33;-15.2;-
SIO;200202;0.9;6.3;82;961.4;18.4;-4.8;5.1;2;51.3;72.4;0;85.9;39;1.9;6.16;70;-8.8;-
SIO;200203;7.1;6.4;159;960.8;21.6;-1.3;8.6;0;49.7;59.5;0;198.5;63;2.1;47.54;53;-7.8;-
SIO;200204;10.3;7.2;208;956.3;24.6;1.5;11.2;0;24.7;56.9;0;204.7;58;2.5;79.00;59;-5.4;-
SIO;200205;14.7;10.2;228;957.7;29.8;3.6;14.0;0;87.6;66.9;0;201.9;49;2.5;83.78;65;-1.6;-
SIO;200206;19.7;14.3;277;959.7;33.7;7.0;20.3;0;59.1;62.0;0;276.6;66;2.6;128.10;50;1.9;-
SIO;200207;20.0;15.0;250;958.6;31.5;9.4;19.5;0;64.4;68.0;0;243.9;58;2.5;105.57;52;4.4;-
SIO;200208;19.7;15.3;203;958.4;29.2;9.2;18.5;0;65.8;73.7;0;201.5;53;2.1;70.47;62;6.6;-
SIO;200209;17.0;12.6;168;959.8;26.2;4.4;14.7;0;32.2;74.7;0;185.3;58;2.2;46.13;58;-0.9;-
SIO;200210;11.9;9.5;101;958.9;23.3;0.8;10.4;0;52.6;75.8;0;140.8;52;1.7;27.49;59;-4.6;-
SIO;200211;7.3;8.0;51;955.0;15.7;0.3;6.4;0;137.4;83.4;0;69.5;37;1.5;8.47;70;-5.1;-
SIO;200212;3.9;6.6;39;959.3;11.1;-4.0;3.3;0;50.7;84.2;0;47.3;37;1.4;4.08;70;-8.8;-
SIO;200301;1.4;5.0;53;959.4;10.1;-9.0;0.3;5;46.3;78.3;0;78.2;48;1.7;3.34;56;-13.3;-
SIO;200302;0.6;3.8;117;962.5;14.9;-9.8;-0.7;4;18.6;68.1;2;169.2;76;1.9;13.24;39;-17.3;-
SIO;200303;6.4;6.2;179;964.7;21.2;-2.1;8.2;0;7.0;59.4;0;257.5;82;2.1;55.21;34;-7.6;-
SIO;200304;10.9;7.2;219;957.6;25.0;-1.7;11.3;0;27.5;55.4;0;227.1;64;2.6;87.10;53;-10.5;-
SIO;200305;16.7;11.2;244;961.3;30.2;2.9;16.3;0;27.1;62.9;0;218.1;53;2.6;89.32;65;-3.1;-
SIO;200306;23.2;15.7;297;959.9;34.9;12.6;23.1;0;66.6;58.5;0;308.7;74;2.4;144.10;49;8.5;-
SIO;200307;22.4;14.6;278;959.6;34.9;11.5;21.9;0;39.8;57.9;0;297.5;71;2.7;152.35;47;6.6;-
SIO;200308;21.8;15.9;235;961.0;37.2;9.7;22.5;0;75.5;62.0;0;282.4;74;2.0;125.98;41;6.5;-
SIO;200309;16.7;12.1;183;962.8;26.7;6.4;15.6;0;12.5;70.1;0;234.2;73;2.3;65.53;43;1.1;-
SIO;200310;10.6;8.4;110;956.3;23.7;-3.4;8.3;0;69.1;75.6;0;162.6;60;2.0;29.03;57;-8.5;-
SIO;200311;6.2;7.0;66;960.5;18.3;-1.4;6.2;0;20.6;75.1;0;108.0;58;1.7;13.65;46;-5.4;-
SIO;200312;2.3;5.2;44;962.0;17.5;-7.9;2.1;0;16.0;72.7;0;79.2;63;2.0;7.38;48;-11.6;-
SIO;200401;1.7;5.5;47;956.1;10.2;-9.8;1.3;23;122.6;79.8;1;51.1;31;1.5;2.60;76;-18.2;-
SIO;200402;2.2;5.0;103;962.1;15.5;-7.2;2.6;0;6.9;68.7;0;154.0;67;2.2;11.35;45;-12.1;25.5
SIO;200403;5.8;5.5;163;962.3;24.9;-6.6;6.2;0;11.5;59.8;0;195.7;63;2.5;44.98;51;-10.6;11.9
SIO;200404;11.1;7.3;209;955.0;23.9;0.2;11.1;0;10.3;57.4;0;195.4;55;2.9;74.56;66;-5.6;16.8
SIO;200405;15.8;9.4;254;956.6;29.0;2.3;14.3;0;30.5;60.4;0;238.3;58;2.7;107.30;60;-2.9;19.7
SIO;200406;19.3;12.4;263;961.0;33.0;8.3;18.7;0;53.9;60.2;0;240.2;58;2.7;122.73;57;3.3;22.0
SIO;200407;20.7;14.3;258;960.3;32.4;8.1;19.9;0;34.0;62.5;0;260.0;62;2.8;123.94;52;2.8;28.5
SIO;200408;20.9;15.0;229;958.4;34.8;7.6;19.7;0;89.8;67.6;0;244.6;64;2.5;94.93;58;4.2;17.3
SIO;200409;17.3;12.8;187;963.2;28.0;4.5;16.5;0;10.9;68.9;0;241.1;75;2.4;69.04;44;1.2;20.5
SIO;200410;13.1;11.1;100;956.7;25.6;2.5;12.0;0;44.0;79.5;0;129.2;48;1.6;23.10;65;-1.3;24.7
SIO;200411;5.5;6.5;63;962.8;16.2;-5.5;3.5;0;20.4;79.0;0;106.6;57;1.4;12.02;46;-9.8;27.8
SIO;200412;1.1;4.8;47;962.7;9.8;-10.3;-0.8;22;42.2;82.8;4;91.0;72;1.5;5.81;39;-11.7;31.6
SIO;200501;0.5;4.3;59;966.7;9.0;-16.0;-2.1;37;36.5;78.9;8;114.3;70;1.7;4.13;39;-25.6;35.8
SIO;200502;-0.3;4.0;108;959.5;8.3;-7.8;-1.4;7;24.9;71.0;3;146.4;66;2.0;10.70;48;-14.0;29.0
SIO;200503;4.1;6.3;170;959.3;22.6;-9.8;6.8;0;13.9;61.4;0;214.9;69;2.0;43.29;47;-14.4;18.0
