stn;time;tso010m0;pva200m0;ets150m0;nto000m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;tre005mn;ure200mn
SMA;200001;2.9;5.3;2.45;76;40;958.1;11.0;-11.9;0.1;17;30.5;84.0;4;66.7;27;2.3;-16.1;-
SMA;200002;4.5;6.4;7.09;71;64;956.7;15.9;-3.4;4.2;9;136.4;77.0;0;79.0;29;2.9;-5.8;-
SMA;200003;7.3;6.5;30.01;68;113;953.8;17.4;-2.7;6.2;1;85.7;69.5;0;133.6;39;2.8;-5.7;-
SMA;200004;10.8;8.1;60.40;68;167;942.9;25.7;-1.3;10.4;0;49.7;66.1;0;163.0;43;2.1;-4.9;-
SMA;200005;16.8;11.8;78.55;61;208;950.6;27.0;5.5;15.2;0;136.9;69.7;0;196.1;46;2.0;1.8;-
SMA;200006;19.9;13.2;121.46;48;254;954.5;31.0;8.1;18.0;0;75.7;65.5;0;251.1;58;1.9;4.5;-
SMA;200007;19.1;13.7;69.69;66;191;949.3;29.0;7.7;15.9;0;195.5;76.6;0;160.7;37;2.2;4.1;-
SMA;200008;20.4;16.1;86.81;49;198;953.1;31.8;11.5;19.0;0;142.9;75.0;0;237.9;59;1.5;9.2;-
SMA;200009;17.5;13.5;44.89;54;155;950.3;25.3;8.0;15.1;0;127.5;79.6;0;196.4;56;2.0;2.8;-
SMA;200010;13.6;10.8;10.68;81;63;950.3;17.5;3.3;10.4;0;72.0;85.3;0;56.6;18;1.6;0.6;-
SMA;200011;8.6;7.5;10.95;75;49;944.2;15.0;-0.4;6.0;0;67.1;80.7;0;73.4;29;1.9;-4.0;-
SMA;200012;6.1;6.6;4.35;80;33;947.3;13.2;-4.6;3.9;11;36.8;81.8;0;44.5;19;2.1;-7.5;-
SMA;200101;3.4;5.8;2.76;76;41;947.7;9.4;-5.6;1.7;4;99.3;82.1;0;63.0;25;1.9;-7.5;-
SMA;200102;4.3;5.6;7.75;72;72;951.7;15.1;-5.7;3.6;3;53.1;70.5;0;85.9;33;2.7;-7.9;-
SMA;200103;7.3;8.1;11.77;88;78;941.9;18.4;-0.8;6.9;11;237.4;80.9;0;55.5;16;3.2;-6.0;-
SMA;200104;9.2;7.4;35.45;81;134;948.0;20.0;-1.8;7.0;15;129.8;75.0;1;100.4;26;2.4;-3.5;-
SMA;200105;15.5;12.1;89.95;62;220;950.1;28.4;5.9;15.5;0;116.2;70.0;0;222.8;52;2.1;1.0;-
SMA;200106;18.0;12.1;98.10;59;227;952.3;29.1;4.9;15.2;0;182.3;71.4;0;214.6;49;2.1;0.8;-
SMA;200107;20.5;14.9;109.07;54;236;950.8;29.5;10.4;18.7;0;140.9;70.6;0;250.8;58;2.0;8.0;-
SMA;200108;21.3;16.4;83.56;51;204;952.5;31.0;10.0;19.2;0;111.6;75.1;0;238.2;59;1.8;5.7;-
