stn;time;tso010m0;tre005mn;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;ets150m0;nto000m0;ure200mn
STG;200001;1.2;-17.6;4.9;43;931.9;8.0;-13.6;-1.0;18;25.6;83.6;10;56.0;26;1.9;2.83;78;-
STG;200002;2.6;-14.5;5.7;65;930.7;15.2;-6.3;3.4;42;87.6;73.4;3;68.4;27;2.5;4.35;73;-
STG;200003;4.5;-5.6;6.1;107;928.1;15.1;-3.8;4.5;11;128.2;73.2;0;108.3;32;2.6;6.00;71;-
STG;200004;8.1;-7.3;7.4;167;918.1;22.9;-3.4;9.3;0;81.0;64.8;0;152.8;40;2.5;22.34;67;-
STG;200005;14.7;0.5;11.0;206;925.9;25.4;4.7;14.0;0;155.3;69.7;0;167.2;38;2.2;63.79;69;-
STG;200006;17.7;4.1;12.4;251;930.0;28.7;6.9;16.8;0;119.7;66.5;0;239.8;53;1.9;131.77;56;-
STG;200007;17.3;2.6;12.6;197;924.7;27.9;6.4;14.5;0;282.0;76.2;0;160.5;36;2.3;82.29;73;-
STG;200008;18.7;7.9;14.7;194;928.7;30.4;10.4;18.1;0;203.7;72.2;0;230.2;56;1.8;112.10;54;-
STG;200009;15.1;4.1;12.4;142;925.6;22.7;6.3;14.1;0;163.3;77.5;0;175.7;50;2.0;51.50;54;-
STG;200010;11.8;-0.5;9.9;57;925.1;18.7;1.6;9.2;0;86.8;84.3;0;43.3;15;1.6;11.03;85;-
STG;200011;7.1;-7.8;6.7;51;919.0;16.1;-2.0;5.4;9;98.6;75.8;1;73.8;33;2.0;12.31;72;-
STG;200012;5.0;-13.0;5.9;34;921.7;15.7;-9.5;4.0;3;23.1;73.0;0;51.5;27;1.9;5.53;74;-
STG;200101;2.4;-13.0;5.1;41;921.9;12.8;-10.0;0.8;24;67.8;78.8;4;57.7;27;1.6;3.19;77;-
STG;200102;3.3;-13.7;5.2;70;926.0;14.9;-8.2;2.6;30;31.9;70.9;3;78.6;32;2.6;4.93;78;-
STG;200103;6.0;-4.8;7.4;84;916.8;18.6;-1.8;5.8;8;164.4;79.7;1;57.7;17;2.4;3.07;88;-
STG;200104;7.1;-8.2;6.7;138;922.6;19.2;-3.5;5.5;29;153.5;74.7;2;96.2;25;2.3;14.75;85;-
STG;200105;14.3;0.8;11.1;218;925.5;25.8;5.2;14.3;0;91.2;70.2;0;207.1;47;2.1;78.98;62;-
STG;200106;16.9;0.2;11.1;224;927.5;27.5;0.9;13.9;0;231.3;70.7;0;195.2;44;2.1;105.34;63;-
STG;200107;19.5;7.8;13.8;228;926.5;29.8;8.1;17.5;0;113.6;70.6;0;235.3;52;1.9;124.84;56;-
STG;200108;19.7;5.2;15.0;197;928.1;29.0;8.6;18.0;0;112.8;73.4;0;223.2;54;1.7;102.13;54;-
STG;200109;13.3;0.0;10.2;99;924.6;20.7;3.4;10.3;0;188.2;81.7;0;68.2;19;2.2;25.82;81;-
STG;200110;12.4;1.8;11.4;98;929.2;22.3;3.3;13.0;0;59.8;76.5;0;142.8;48;1.5;31.09;60;-
STG;200111;5.3;-10.5;6.0;44;929.2;11.4;-5.9;1.3;22;101.1;87.4;3;56.8;26;1.9;6.87;83;-
STG;200112;3.2;-20.3;4.8;31;929.1;9.5;-15.4;-1.8;64;55.9;83.4;8;39.1;21;2.3;3.19;85;-
STG;200201;1.6;-16.4;4.7;53;933.0;14.8;-11.1;0.0;0;6.9;75.2;6;84.4;40;1.6;4.60;71;-
STG;200202;4.0;-13.5;6.1;60;925.0;15.9;-7.8;4.5;28;74.4;72.7;2;49.4;20;3.1;3.63;79;-
STG;200203;5.9;-7.9;6.3;135;926.2;15.9;-4.3;5.9;3;54.5;68.6;0;161.7;47;2.3;8.60;70;-
STG;200204;8.4;-7.3;6.9;167;923.1;19.0;-3.1;7.2;0;83.3;68.7;0;150.4;39;2.1;20.52;69;-
STG;200205;13.7;-2.0;9.9;191;924.1;25.5;3.3;12.0;0;176.4;72.9;0;154.4;35;2.1;61.31;72;-
STG;200206;19.7;3.0;13.9;243;926.9;30.8;8.0;17.8;0;215.9;69.0;0;226.5;50;2.0;115.42;57;-
STG;200207;19.5;3.5;14.0;203;926.0;25.8;8.5;16.7;0;184.1;74.2;0;185.0;41;1.9;96.21;66;-
STG;200208;18.2;5.0;14.7;172;925.6;25.1;9.5;16.2;0;325.9;80.6;0;159.5;39;1.8;60.02;67;-
