"name";"nat_abbr";"wmo_ind";"chx";"chy";"lon";"lat";"height";"climate.region";"climate.region.nr";"first.year.daily.obs";"last.year.daily.obs";"nr.years.daily.obs.in.standard.per";"nr.na.years.daily.obs.in.standard.per";"first.year.hourly.obs";"last.year.hourly.obs";"nr.years.hourly.obs";"nr.na.years.hourly.obs";"has.hourly.data"
"Aarberg";"ABE";NA;2588051.136;1209518.307;7.281425;47.0365916666667;493;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"L'Abergement";"ABG";NA;2527539.695;1178770.664;6.49021111111111;46.7561777777778;647;"Westlicher Jura";2;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Adelboden";"ABO";"6735";2609371.811;1148939.375;7.56070277777778;46.4917027777778;1321.38;"Westlicher Alpennordhang";8;1961;2020;60;0;1984;2021;38;0;TRUE
"Andelfingen";"AFI";NA;2693811.072;1273069.788;8.68609722222222;47.6016027777778;382;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Affeltrangen";"AFT";NA;2718739.859;1266351.615;9.01571944444444;47.5371555555556;541;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Affoltern i. E.";"AIE";NA;2622940.365;1212500.141;7.74061388888889;47.063125;755;"Zentrales Mittelland";4;1961;2020;60;0;2013;2020;8;0;FALSE
"Aigle";"AIG";"06712";2560403.973;1130713.305;6.92447222222222;46.3266472222222;381.02;"Westlicher Alpennordhang";8;1981;2020;40;0;1982;2021;40;0;TRUE
"Airolo";"AIR";NA;2688910.282;1153399.624;8.59744444444445;46.5259861111111;1139;"Alpensüdseite";12;1961;2020;60;0;2014;2020;7;0;FALSE
"Altmatt";"ALM";NA;2695420.77;1220769.854;8.69635833333333;47.1310305555556;920;"Zentraler Alpennordhang";7;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Altstätten, SG";"ALS";NA;2759910.362;1250201.719;9.55653055555556;47.383225;430;"Östlicher Alpennordhang";6;1961;2020;60;0;2014;2020;6;1;FALSE
"Altdorf";"ALT";"6672";2690180.919;1193563.724;8.62189444444444;46.8870694444444;437.86;"Zentraler Alpennordhang";7;1961;2020;60;0;1982;2021;40;0;TRUE
"Alvaneu Dorf";"ALV";NA;2768985;1171899;9.64745833333333;46.6769083333333;1162;"Nord- und Mittelbünden";9;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Allenwinden, TG";"ALW";NA;2713800.816;1249549.815;8.94585277777778;47.3869416666667;865;"Nordöstliches Mittelland";3;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Amriswil";"AMW";NA;2741796.694;1268303.532;9.322475;47.5501361111111;420;"Nordöstliches Mittelland";3;1961;2020;60;0;2016;2020;4;1;FALSE
"Andeer";"AND";"6787";2752692.275;1164037.604;9.43198055555555;46.6101388888889;987.1;"Nord- und Mittelbünden";9;1961;2020;60;0;2008;2020;12;1;FALSE
"Andermatt";"ANT";"6695";2687444.588;1165043.768;8.58055277777778;46.6309138888889;1438;"Zentraler Alpennordhang";7;1961;2020;60;0;2014;2020;7;0;FALSE
"Appenzell";"APP";NA;2748012.636;1245039.619;9.39731388888889;47.3395916666667;750;"Östlicher Alpennordhang";6;1961;2012;52;0;2013;2020;8;0;FALSE
"Alpthal";"APT";NA;2696860.705;1212929.815;8.71365555555556;47.0603083333333;1015;"Zentraler Alpennordhang";7;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Arbon";"ARB";NA;2750506.626;1263114.517;9.43639166666667;47.5015416666667;401;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Arisdorf";"ARI";NA;2625310.594;1261860.453;7.77459444444444;47.5070055555556;480;"Östlicher Jura";1;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Arosa";"ARO";"6785";2771030.9;1184830.2;9.67901388888889;46.7926611111111;1878;"Nord- und Mittelbünden";9;1961;2020;60;0;2016;2020;5;0;FALSE
"Stalden / Ackersand";"AST";NA;2633629.608;1121149.585;7.87463888888889;46.2409416666667;700;"Wallis";10;1962;2020;59;0;NA;NA;NA;NA;FALSE
"L' Auberson";"AUB";NA;2523851.806;1186295.571;6.44069166666667;46.82345;1096;"Westlicher Jura";2;1961;2020;60;0;2015;2020;6;0;FALSE
"Les Avants";"AVA";NA;2561879.653;1145178.332;6.94244444444444;46.45685;1036;"Westliches Mittelland";5;1975;2020;46;0;2016;2020;4;1;FALSE
"Avers / Am Bach";"AVB";NA;2761959.886;1146802.542;9.54686111111111;46.452975;1993;"Nord- und Mittelbünden";9;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Avenches";"AVE";NA;2569652.913;1191910.23;7.04053888888889;46.8776194444444;457;"Westliches Mittelland";5;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Bauma";"BAM";NA;2710805.793;1247004.816;8.90556388888889;47.3645666666667;667;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Basel / Binningen";"BAS";"6601";2610908.717;1265611.953;7.583525;47.5411416666667;316.172;"Östlicher Jura";1;1961;2020;60;0;1982;2021;40;0;TRUE
"Balsthal";"BAT";NA;2621017.478;1241091.306;7.71663333333333;47.3203555555556;523;"Westlicher Jura";2;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Baulmes";"BAU";NA;2530055.741;1182443.64;6.52257777777778;46.7894833333333;642;"Westlicher Jura";2;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Barmelweid";"BAW";NA;2640058;1252430;7.96949166666667;47.4214555555556;777;"Zentrales Mittelland";4;1961;2020;60;0;2019;2020;1;1;FALSE
"Passo del Bernina";"BEH";"6797";2798423.283;1143019.758;10.0195666666667;46.4091583333333;2260;"Alpensüdseite";12;1961;2020;55;5;2014;2020;6;1;FALSE
"Belp";"BEP";NA;2605082.054;1195000.978;7.50533888888889;46.9060944444444;510;"Zentrales Mittelland";4;1961;2020;60;0;2018;2020;3;0;FALSE
"Bern / Zollikofen";"BER";"6631";2601934.03;1204409.74;7.46406111111111;46.9907444444444;552.84;"Zentrales Mittelland";4;1961;2020;60;0;1982;2021;40;0;TRUE
"Bex";"BEX";NA;2565805.465;1121511.261;6.99528611111111;46.2441666666667;402;"Westlicher Alpennordhang";8;1961;2012;52;0;2013;2020;8;0;FALSE
"Bellelay";"BEY";NA;2579603.33;1234880.563;7.16913333333333;47.2645138888889;923;"Westlicher Jura";2;1961;2020;60;0;2016;2020;5;0;FALSE
"Beznau";"BEZ";"06646";2659813.255;1267696.396;8.233325;47.5572555555555;325.57;"Nordöstliches Mittelland";3;1989;2020;32;0;1989;2021;33;0;TRUE
"Biasca";"BIA";NA;2718550.426;1132799.363;8.9784;46.3361166666667;278;"Alpensüdseite";12;1961;2020;60;0;2014;2020;6;1;FALSE
"Bière";"BIE";"6704";2515887.314;1153211.08;6.34238611111111;46.5249083333333;683.636;"Westliches Mittelland";5;1976;2020;45;0;2010;2020;11;0;FALSE
"Binn";"BIN";"6721";2657995.87;1135421.456;8.19230555555556;46.3676611111111;1479;"Wallis";10;1961;2020;60;0;2014;2020;6;1;FALSE
"Bisisthal";"BIS";NA;2705983.755;1200132.718;8.83073333333333;46.9438194444444;856;"Zentraler Alpennordhang";7;1970;2020;51;0;NA;NA;NA;NA;FALSE
"Bivio";"BIV";"6774";2771282.655;1148119.218;9.66863888888889;46.4624944444444;1856;"Nord- und Mittelbünden";9;1961;2020;60;0;2016;2020;5;0;FALSE
"Bischofszell";"BIZ";"6678";2737713.5;1263612.7;9.26679722222222;47.5088277777778;507;"Nordöstliches Mittelland";3;1961;2020;60;0;2010;2020;10;1;FALSE
"Brülisau";"BLS";NA;2752884.549;1240106.649;9.460075;47.294125;928;"Östlicher Alpennordhang";6;1974;2020;47;0;NA;NA;NA;NA;FALSE
"Blumenstein";"BLU";NA;2606259.905;1177009.89;7.52055277777778;46.7442472222222;655;"Westlicher Alpennordhang";8;1973;2020;48;0;NA;NA;NA;NA;FALSE
"Bellinzona";"BLZ";NA;2720913.432;1116587.131;9.00488055555556;46.1898861111111;224;"Alpensüdseite";12;1961;2020;60;0;2016;2020;4;1;FALSE
"Beromünster";"BMU";NA;2657200.731;1228760.065;8.19364166666667;47.2073027777778;642;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Les Brenets";"BNE";NA;2544673.563;1213695.504;6.71021666666667;47.0719638888889;908;"Westlicher Jura";2;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Braunau";"BNU";NA;2723115.854;1264786.626;9.07339166666667;47.5222777777778;592;"Nordöstliches Mittelland";3;1979;2020;41;1;NA;NA;NA;NA;FALSE
"Bosco/Gurin";"BOS";NA;2680878.938;1130026.295;8.48870555555555;46.3167666666667;1486;"Alpensüdseite";12;1961;2020;60;0;2014;2020;6;1;FALSE
"Boudevilliers";"BOV";NA;2558094.801;1208130.48;6.88742777777778;47.0228916666667;750;"Westlicher Jura";2;1969;2020;50;2;NA;NA;NA;NA;FALSE
"Orbe";"BOZ";NA;2531750.695;1176425.597;6.54567222222222;46.7355277777778;438;"Westliches Mittelland";5;1961;2020;59;1;NA;NA;NA;NA;FALSE
"Braggio";"BRA";NA;2729967.593;1128611.182;9.125475;46.2963388888889;1312;"Alpensüdseite";12;1964;2020;57;0;NA;NA;NA;NA;FALSE
"Brig";"BRI";NA;2640566.777;1129068.738;7.96526388888889;46.3117944444444;665;"Wallis";10;1962;2012;51;0;2014;2020;7;0;FALSE
"La Brévine";"BRL";"6617";2536981.237;1203974.724;6.61029722222222;46.9838444444444;1050;"Westlicher Jura";2;1961;2020;60;0;2013;2020;7;1;FALSE
"Broc";"BRO";NA;2574681.673;1162098.135;7.10815277777778;46.6096583333333;682;"Westlicher Alpennordhang";8;1971;2020;50;0;NA;NA;NA;NA;FALSE
"Brusio";"BRP";NA;2806478.681;1127183.977;10.1172305555556;46.2643583333333;856;"Alpensüdseite";12;1961;2014;54;0;2016;2020;5;0;FALSE
"Braunwald";"BRW";NA;2717942.654;1199650.67;8.98765;46.9374694444444;1299;"Östlicher Alpennordhang";6;1961;2020;60;0;2014;2020;6;1;FALSE
"Brienz";"BRZ";"6656";2647552.716;1176803.023;8.06086388888889;46.7407194444444;567.15;"Westlicher Alpennordhang";8;1961;2020;60;0;2012;2020;8;1;FALSE
"Brissago";"BSG";NA;2698199.947;1108388.967;8.70900277777778;46.1198444444444;280;"Alpensüdseite";12;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Bourg-St-Pierre";"BSP";NA;2582154.091;1088270.112;7.20851666666667;45.9457805555556;1664;"Wallis";10;1961;2020;59;1;NA;NA;NA;NA;FALSE
"Buch, SH";"BUC";NA;2700944.979;1286038.659;8.78389722222222;47.7171611111111;414;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Burgdorf";"BUD";NA;2612163.281;1211782.163;7.59873055555556;47.0569527777778;534;"Zentrales Mittelland";4;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Bülach";"BUE";NA;2682028.079;1263776.963;8.52771944444445;47.5196111111111;403;"Nordöstliches Mittelland";3;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Buffalora";"BUF";"6778";2816494.061;1170254.988;10.2672;46.6484083333333;1971;"Engadin";11;1961;2020;59;1;1999;2020;21;1;FALSE
"Buchs / Aarau";"BUS";"06633";2648396.432;1248369.996;8.07955;47.3843805555556;386.66;"Zentrales Mittelland";4;1984;2020;36;1;1985;2021;37;0;TRUE
"Campocologno";"CAC";NA;2807969.745;1124285.973;10.1352638888889;46.2378444444444;577;"Alpensüdseite";12;1962;2020;59;0;NA;NA;NA;NA;FALSE
"Cavaglia";"CAV";NA;2799866.346;1138474.792;10.0363666666667;46.3678694444444;1707;"Alpensüdseite";12;1962;2020;59;0;NA;NA;NA;NA;FALSE
"La Chaux-de-Fonds";"CDF";"6612";2550919.036;1214861.977;6.79231388888889;47.0829472222222;1017.01;"Westlicher Jura";2;1961;2020;60;0;1982;2021;40;0;TRUE
"Col des Mosses";"CDM";"6713";2573817.1;1137852.795;7.09823888888889;46.391525;1412;"Westlicher Alpennordhang";8;1973;2020;48;0;2016;2020;5;0;FALSE
"Cevio";"CEV";"6752";2689688.008;1130564.301;8.60316111111111;46.3204861111111;417;"Alpensüdseite";12;1961;2020;59;1;2013;2020;7;1;FALSE
"Nyon / Changins";"CGI";"6705";2506877.561;1139573.559;6.22772222222222;46.4010527777778;458.2;"Westliches Mittelland";5;1966;2020;55;0;1982;2021;40;0;TRUE
"Chasseral";"CHA";"06605";2570845.428;1220157.837;7.05436666666667;47.1317611111111;1594.2;"Westlicher Jura";2;1981;2020;40;0;1982;2021;40;0;TRUE
"Château-d'Oex";"CHD";"6627";2577040.137;1147654.83;7.13965555555556;46.4798194444444;1028;"Westlicher Alpennordhang";8;1961;2020;60;0;2012;2020;8;1;FALSE
"Chaumont";"CHM";"6608";2565060.253;1211006.916;6.978825;47.0491694444444;1136;"Westlicher Jura";2;1961;2020;60;0;2013;2020;7;1;FALSE
"Chur";"CHU";"6786";2759466.632;1193152.634;9.53051111111111;46.8703666666667;556;"Nord- und Mittelbünden";9;1961;2020;60;0;1982;2021;40;0;TRUE
"Chavornay";"CHY";NA;2531886.675;1172741.593;6.54799722222222;46.7024055555556;439;"Westliches Mittelland";5;1975;2020;46;0;NA;NA;NA;NA;FALSE
"Cham";"CHZ";"06674";2677758.871;1226877.999;8.46464166666667;47.1882777777778;442.5;"Zentrales Mittelland";4;1993;2020;26;2;1994;2021;27;1;TRUE
"Cimetta";"CIM";"06759";2704433.601;1117457.058;8.79165;46.2004666666667;1661;"Alpensüdseite";12;1982;2020;39;0;1982;2021;40;0;TRUE
"Camedo";"CMD";NA;2690295.842;1112206.102;8.60750277777778;46.1552805555556;590;"Alpensüdseite";12;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Chanéaz";"CNZ";NA;2546813.724;1175579.519;6.74284166666667;46.7292888888889;758;"Westliches Mittelland";5;1973;2020;48;0;NA;NA;NA;NA;FALSE
"Combe-Garot";"COG";NA;2548088.632;1200426.381;6.75669444444444;46.9528888888889;629;"Westliches Mittelland";5;1961;2020;60;0;NA;NA;NA;NA;FALSE
"Coldrerio";"COL";NA;2721080.122;1079233.527;8.99743055555555;45.8539138888889;347;"Alpensüdseite";12;1961;2020;60;0;2015;2020;5;1;FALSE
"Acquarossa / Comprovasco";"COM";"6756";2714985.08;1146450.878;8.93548611111111;46.4595166666667;575.32;"Alpensüdseite";12;1961;2020;48;12;1989;2021;33;0;TRUE
